image, length, angle, x, y
9_10_11.tif,5.656854,45,6.1038957,5.324675
9_10_11.tif,6.0827627,80.537674,6.0173154,3.362193
9_10_11.tif,6.3245554,71.56505,3.3766232,3.001443
9_10_11.tif,6.3245554,18.434952,6.1183257,3.232323
9_10_11.tif,6.3245554,71.56505,6.334776,3.9971137
9_10_11.tif,6.4031243,38.659805,6.2481956,4.4733043
9_10_11.tif,6.708204,-63.434948,6.5945163,0.70707065
9_10_11.tif,6.708204,63.43495,6.349206,1.7460316
9_10_11.tif,7.071068,45,6.4357862,1.1544011
9_10_11.tif,7.071068,45,6.0317454,2.6406925
9_10_11.tif,7.071068,8.130104,6.2337656,4.357864
9_10_11.tif,7.071068,81.8699,5.9595957,5.324675
9_10_11.tif,7.2111025,56.309937,6.305916,4.7763343
9_10_11.tif,7.28011,-74.0546,6.334776,4.559884
9_10_11.tif,7.28011,-15.945396,6.2626257,4.7907643
9_10_11.tif,7.81025,50.194427,6.291486,4.329004
9_10_11.tif,8.5440035,69.443954,6.2626257,2.3376622
9_10_11.tif,9.055386,6.3401947,6.2626257,4.083694
9_10_11.tif,11.18034,-10.304848,6.291486,4.588744
9_10_11.tif,15.132746,7.5946426,6.219336,2.092352
9_10_11.tif,16.492422,14.036247,6.493506,0.47619045
9_10_11.tif,16.763054,-17.354027,6.392496,0.9090909
9_10_11.tif,16.763054,17.354027,6.291486,1.3275613
9_10_11.tif,18.027756,-19.440033,6.219336,1.8037517
9_10_11.tif,21.84033,-15.945396,6.161616,2.3520923
9_10_11.tif,25.059929,-28.610458,6.0894656,4.9783545
9_10_11.tif,32.06244,-3.576332,6.1183257,2.7272725
9_10_11.tif,39.293766,14.743561,6.176046,3.3766232
9_10_12.tif,1.4142135,45,6.305916,1.5728714
9_10_12.tif,1.4142135,45,6.334776,1.6017315
9_10_12.tif,1.4142135,45,6.147186,2.049062
9_10_12.tif,1.4142135,45,6.0894656,3.5497832
9_10_12.tif,1.4142135,45,6.204906,3.7518034
9_10_12.tif,1.4142135,45,6.176046,3.7806635
9_10_12.tif,1.4142135,45,6.2481956,3.9826837
9_10_12.tif,1.4142135,45,5.7575755,6.450216
9_10_12.tif,1.4142135,45,10.33189,17.763346
9_10_12.tif,2.236068,63.43495,6.2481956,1.5151514
9_10_12.tif,2.236068,63.43495,6.161616,2.294372
9_10_12.tif,2.236068,26.565048,6.2337656,2.3665223
9_10_12.tif,2.236068,63.43495,6.2770557,2.6984124
9_10_12.tif,2.236068,26.565048,6.1038957,3.0591629
9_10_12.tif,2.236068,63.43495,8.773448,3.333333
9_10_12.tif,2.236068,26.565048,6.190476,3.5786433
9_10_12.tif,2.236068,63.43495,5.9307356,5.396825
9_10_12.tif,2.236068,63.43495,5.7864356,5.7431455
9_10_12.tif,2.828427,-45,6.536796,0.60606056
9_10_12.tif,2.828427,45,6.421356,0.8225108
9_10_12.tif,2.828427,-45,6.450216,0.9812409
9_10_12.tif,2.828427,45,6.493506,1.7748916
9_10_12.tif,2.828427,45,6.2770557,2.7561326
9_10_12.tif,2.828427,45,8.3261175,15.238094
9_10_12.tif,3.1622777,18.434952,6.378066,0.8513708
9_10_12.tif,3.1622777,18.434952,6.406926,0.93795085
9_10_12.tif,3.1622777,18.434952,6.147186,2.6262624
