image,depth, angle, count
60-15-col-wd-3-1.tif,5,70,0.8360547423
60-15-col-wd-3-1.tif,5,72,0.8558639884
60-15-col-wd-3-1.tif,5,74,1.0928481817
60-15-col-wd-3-1.tif,5,76,1.5303126574
60-15-col-wd-3-1.tif,5,78,0.9308848381
60-15-col-wd-3-1.tif,5,80,0.7793999314
60-15-col-wd-3-1.tif,5,82,0.9253265858
60-15-col-wd-3-1.tif,5,84,1.0184080601
60-15-col-wd-3-1.tif,5,86,1.0256918669
60-15-col-wd-3-1.tif,5,88,1.299779892
60-15-col-wd-3-1.tif,10,-90,0.0296298843
60-15-col-wd-3-1.tif,10,-88,0
60-15-col-wd-3-1.tif,10,-86,0
60-15-col-wd-3-1.tif,10,-84,0
60-15-col-wd-3-1.tif,10,-82,0
60-15-col-wd-3-1.tif,10,-80,0
60-15-col-wd-3-1.tif,10,-78,0
60-15-col-wd-3-1.tif,10,-76,0.0241741072
60-15-col-wd-3-1.tif,10,-74,0.1964769214
60-15-col-wd-3-1.tif,10,-72,0.6785165071
60-15-col-wd-3-1.tif,10,-70,0
60-15-col-wd-3-1.tif,10,-68,0.0897226408
60-15-col-wd-3-1.tif,10,-66,1.1919256449
60-15-col-wd-3-1.tif,10,-64,0.0003728055
60-15-col-wd-3-1.tif,10,-62,0.1608869433
60-15-col-wd-3-1.tif,10,-60,0.1218206733
60-15-col-wd-3-1.tif,10,-58,0
60-15-col-wd-3-1.tif,10,-56,0.4778369963
60-15-col-wd-3-1.tif,10,-54,1.4537985325
60-15-col-wd-3-1.tif,10,-52,0.0435530059
60-15-col-wd-3-1.tif,10,-50,0
60-15-col-wd-3-1.tif,10,-48,1.0288587809
60-15-col-wd-3-1.tif,10,-46,0.2104673535
60-15-col-wd-3-1.tif,10,-44,0.0173469782
60-15-col-wd-3-1.tif,10,-42,0.3186913729
60-15-col-wd-3-1.tif,10,-40,0.0435530059
60-15-col-wd-3-1.tif,10,-38,0.5253264904
60-15-col-wd-3-1.tif,10,-36,8.62112792674452E-005
60-15-col-wd-3-1.tif,10,-34,1.4354914427
60-15-col-wd-3-1.tif,10,-32,1.065304637
60-15-col-wd-3-1.tif,10,-30,0.0135505749
60-15-col-wd-3-1.tif,10,-28,0.0003728055
60-15-col-wd-3-1.tif,10,-26,0
60-15-col-wd-3-1.tif,10,-24,3.4268939495
60-15-col-wd-3-1.tif,10,-22,0.0443836637
60-15-col-wd-3-1.tif,10,-20,4.8600001335
60-15-col-wd-3-1.tif,10,-18,0.613648355
60-15-col-wd-3-1.tif,10,-16,5.6087322235
60-15-col-wd-3-1.tif,10,-14,4.3973326683
60-15-col-wd-3-1.tif,10,-12,2.199682951
60-15-col-wd-3-1.tif,10,-10,5.9302225113
60-15-col-wd-3-1.tif,10,-8,4.2933220863
60-15-col-wd-3-1.tif,10,-6,3.2407114506
60-15-col-wd-3-1.tif,10,-4,2.0503909588
60-15-col-wd-3-1.tif,10,-2,8.1447820663
60-15-col-wd-3-1.tif,10,1.27222193825778E-013,5.6341385841
60-15-col-wd-3-1.tif,10,2,4.9143390656
60-15-col-wd-3-1.tif,10,4,15.1661472321
60-15-col-wd-3-1.tif,10,6,1.4285823107
60-15-col-wd-3-1.tif,10,8,2.4378464222
60-15-col-wd-3-1.tif,10,10,0.952560544
60-15-col-wd-3-1.tif,10,12,0.0763632581
60-15-col-wd-3-1.tif,10,14,2.5274364948
60-15-col-wd-3-1.tif,10,16,0.1301346272
60-15-col-wd-3-1.tif,10,18,0
60-15-col-wd-3-1.tif,10,20,0.6673070192
60-15-col-wd-3-1.tif,10,22,0.5254774094
60-15-col-wd-3-1.tif,10,24,0.0666437745
60-15-col-wd-3-1.tif,10,26,2.9252519608
60-15-col-wd-3-1.tif,10,28,0
60-15-col-wd-3-1.tif,10,30,0.3708933294
60-15-col-wd-3-1.tif,10,32,0.0238928217
60-15-col-wd-3-1.tif,10,34,8.62112792674452E-005
60-15-col-wd-3-1.tif,10,36,0.0001514522
60-15-col-wd-3-1.tif,10,38,0.0049741059
60-15-col-wd-3-1.tif,10,40,1.0281066895
60-15-col-wd-3-1.tif,10,42,0
60-15-col-wd-3-1.tif,10,44,1.3288562298
60-15-col-wd-3-1.tif,10,46,0.0334101059
60-15-col-wd-3-1.tif,10,48,0
60-15-col-wd-3-1.tif,10,50,0.401498735
60-15-col-wd-3-1.tif,10,52,0.0036710987
60-15-col-wd-3-1.tif,10,54,8.62112792674452E-005
60-15-col-wd-3-1.tif,10,56,1.291369319
60-15-col-wd-3-1.tif,10,58,0
60-15-col-wd-3-1.tif,10,60,0.0128779709
60-15-col-wd-3-1.tif,10,62,0.0003728055
60-15-col-wd-3-1.tif,10,64,0
60-15-col-wd-3-1.tif,10,66,0.6277180314
60-15-col-wd-3-1.tif,10,68,0
60-15-col-wd-3-1.tif,10,70,0.1834960431
60-15-col-wd-3-1.tif,10,72,0
60-15-col-wd-3-1.tif,10,74,0.0241741072
60-15-col-wd-3-1.tif,10,76,0.3236967921
60-15-col-wd-3-1.tif,10,78,0.0186622813
60-15-col-wd-3-1.tif,10,80,0
60-15-col-wd-3-1.tif,10,82,0.8800014853
60-15-col-wd-3-1.tif,10,84,1.1186745167
60-15-col-wd-3-1.tif,10,86,0.7116870284
60-15-col-wd-3-1.tif,10,88,0.2215460241
60-15-col-wd-3-1.tif,15,-90,10.4694156647
60-15-col-wd-3-1.tif,15,-88,0
60-15-col-wd-3-1.tif,15,-86,0
60-15-col-wd-3-1.tif,15,-84,0.117071718
60-15-col-wd-3-1.tif,15,-82,0.8673740625
60-15-col-wd-3-1.tif,15,-80,0
60-15-col-wd-3-1.tif,15,-78,2.3126945496
60-15-col-wd-3-1.tif,15,-76,0.0718341246
60-15-col-wd-3-1.tif,15,-74,0.7138027549
60-15-col-wd-3-1.tif,15,-72,0.2615485489
60-15-col-wd-3-1.tif,15,-70,0
60-15-col-wd-3-1.tif,15,-68,2.9194896221
60-15-col-wd-3-1.tif,15,-66,1.5974007845
60-15-col-wd-3-1.tif,15,-64,1.2085860968
60-15-col-wd-3-1.tif,15,-62,0
60-15-col-wd-3-1.tif,15,-60,0.0292222835
60-15-col-wd-3-1.tif,15,-58,0.3915751278
60-15-col-wd-3-1.tif,15,-56,6.5155129433
60-15-col-wd-3-1.tif,15,-54,0.0050862944
60-15-col-wd-3-1.tif,15,-52,0.2501630783
60-15-col-wd-3-1.tif,15,-50,1.8398735523
60-15-col-wd-3-1.tif,15,-48,0.0953788906
60-15-col-wd-3-1.tif,15,-46,0.9491025209
60-15-col-wd-3-1.tif,15,-44,0.0476894453
60-15-col-wd-3-1.tif,15,-42,0.9199367762
60-15-col-wd-3-1.tif,15,-40,0.5003261566
60-15-col-wd-3-1.tif,15,-38,0.0101725888
60-15-col-wd-3-1.tif,15,-36,6.1630325317
60-15-col-wd-3-1.tif,15,-34,0.1957875639
60-15-col-wd-3-1.tif,15,-32,0.058444567
60-15-col-wd-3-1.tif,15,-30,0
60-15-col-wd-3-1.tif,15,-28,1.8008612394
60-15-col-wd-3-1.tif,15,-26,3.194801569
60-15-col-wd-3-1.tif,15,-24,1.4597448111
60-15-col-wd-3-1.tif,15,-22,0
60-15-col-wd-3-1.tif,15,-20,0.3382776976
60-15-col-wd-3-1.tif,15,-18,0.3569013774
60-15-col-wd-3-1.tif,15,-16,0.0478894189
60-15-col-wd-3-1.tif,15,-14,4.6253890991
60-15-col-wd-3-1.tif,15,-12,0
60-15-col-wd-3-1.tif,15,-10,1.7347481251
60-15-col-wd-3-1.tif,15,-8,0.234143436
60-15-col-wd-3-1.tif,15,-6,0
60-15-col-wd-3-1.tif,15,-4,0
60-15-col-wd-3-1.tif,15,-2,0
60-15-col-wd-3-1.tif,15,1.27222193825778E-013,5.8628587723
60-15-col-wd-3-1.tif,15,2,0
60-15-col-wd-3-1.tif,15,4,0
60-15-col-wd-3-1.tif,15,6,0.234143436
60-15-col-wd-3-1.tif,15,8,1.7347481251
60-15-col-wd-3-1.tif,15,10,0
60-15-col-wd-3-1.tif,15,12,4.6253890991
60-15-col-wd-3-1.tif,15,14,0.0478894189
60-15-col-wd-3-1.tif,15,16,0.3569013774
60-15-col-wd-3-1.tif,15,18,0.3382776976
60-15-col-wd-3-1.tif,15,20,0
60-15-col-wd-3-1.tif,15,22,1.4597448111
60-15-col-wd-3-1.tif,15,24,3.194801569
60-15-col-wd-3-1.tif,15,26,1.8008612394
60-15-col-wd-3-1.tif,15,28,0
60-15-col-wd-3-1.tif,15,30,0.058444567
60-15-col-wd-3-1.tif,15,32,0.1957875639
60-15-col-wd-3-1.tif,15,34,6.1630325317
60-15-col-wd-3-1.tif,15,36,0.0101725888
60-15-col-wd-3-1.tif,15,38,0.5003261566
