Distance_From_Tip,Intensity,Reporter
0.0938,278.9267,dr5
0.0865,267.8485,dr5
0.0793,269.6979,dr5
0.0721,254.1207,dr5
0.0649,268.5892,dr5
0.0577,303.8068,dr5
0.0505,356.2994,dr5
0.0433,404.3954,dr5
0.036,454.208,dr5
0.0288,466.1822,dr5
0.0216,510.0134,dr5
0.0144,610.6431,dr5
0.0072,572.0706,dr5
0,460.5641,dr5
0.4113,227,dr5
0.4041,216.1969,dr5
0.3969,212.8285,dr5
0.3897,218.894,dr5
0.3824,220.0128,dr5
0.3752,225.2934,dr5
0.368,227.7622,dr5
0.3608,233.7629,dr5
0.3536,234.3117,dr5
0.3464,236.6936,dr5
0.3391,227.5216,dr5
0.3319,221.5527,dr5
0.3247,217.2021,dr5
0.3175,215.603,dr5
0.3103,224.008,dr5
0.3031,223.4999,dr5
0.2959,222.6524,dr5
0.2886,225.3355,dr5
0.2814,220.1347,dr5
0.2742,216.5574,dr5
0.267,219.1433,dr5
0.2598,227.3202,dr5
0.2526,233.7005,dr5
0.2454,236.6462,dr5
0.2381,234.0723,dr5
0.2309,241.1424,dr5
0.2237,248.6095,dr5
0.2165,241.7208,dr5
0.2093,242.4009,dr5
0.2021,250.9956,dr5
0.1948,245.989,dr5
0.1876,248.726,dr5
0.1804,253.838,dr5
0.1732,240.7444,dr5
0.166,239.6716,dr5
0.1588,241.9635,dr5
0.1516,230.6021,dr5
0.1443,225.5186,dr5
0.1371,222.9581,dr5
0.1299,227.0497,dr5
0.1227,226.8322,dr5
0.1155,223.5767,dr5
0.1083,228.6213,dr5
0.1011,238.452,dr5
0.0938,241.5222,dr5
0.0866,238.2844,dr5
0.0794,241.0299,dr5
0.0722,249.9559,dr5
0.065,253.4572,dr5
0.0578,254.8806,dr5
0.0505,251.9079,dr5
0.0433,255.5696,dr5
0.0361,265.08,dr5
0.0289,281.5,dr5
0.0217,302.76,dr5
0.0145,329.34,dr5
0.0073,392.24,dr5
0,476.54,dr5
0.469,210,dr5
0.4618,207.3343,dr5
0.4546,206.5636,dr5
0.4474,206.1593,dr5
0.4401,203.9546,dr5
0.4329,203.5852,dr5
0.4257,211.2349,dr5
0.4185,209.3843,dr5
0.4113,212.1992,dr5
0.4041,211.8145,dr5
0.3968,208.9721,dr5
0.3896,213.6008,dr5
0.3824,213.9157,dr5
0.3752,214.6339,dr5
0.368,215.0115,dr5
0.3608,211.3189,dr5
0.3536,212.8727,dr5
0.3463,214.8502,dr5
0.3391,223.0602,dr5
0.3319,223.9789,dr5
0.3247,222.2422,dr5
0.3175,222.0219,dr5
0.3103,224.1512,dr5
0.3031,219.7504,dr5
0.2958,222.9036,dr5
0.2886,230.2922,dr5
0.2814,231.7657,dr5
0.2742,225.4358,dr5
0.267,224.2352,dr5
0.2598,226.2937,dr5
0.2525,226.1596,dr5
0.2453,226.4025,dr5
0.2381,229.2484,dr5
0.2309,235.12,dr5
0.2237,242.42,dr5
0.2165,245.98,dr5
0.2093,251.86,dr5
0.202,251.56,dr5
0.1948,254.72,dr5
0.1876,252.58,dr5
0.1804,249.3,dr5
0.1732,245.56,dr5
0.166,249.0739,dr5
0.1588,252.9796,dr5
0.1515,261.6454,dr5
0.1443,264.0187,dr5
0.1371,260.7477,dr5
0.1299,256.5694,dr5
0.1227,262.7324,dr5
0.1155,260.0274,dr5
0.1082,265.006,dr5
0.101,266.5297,dr5
0.0938,272.6758,dr5
0.0866,277.9287,dr5
0.0794,280.9163,dr5
0.0722,288.76,dr5
0.065,282.21,dr5
0.0577,273.27,dr5
0.0505,269.12,dr5
0.0433,269,dr5
0.0361,259.3,dr5
0.0289,256.09,dr5
0.0217,243.39,dr5
0.0145,248.82,dr5
0.0072,245.12,dr5
0,244.03,dr5
0.3391,224,dr5
0.3319,223.2079,dr5
0.3247,220.8857,dr5
0.3175,217.1885,dr5
0.3102,217.0716,dr5
0.303,218.7532,dr5
0.2958,224.0504,dr5
0.2886,221.0179,dr5
0.2814,219.9572,dr5
0.2742,222.6247,dr5
0.2669,226.8639,dr5
0.2597,225.9637,dr5
0.2525,217.9698,dr5
0.2453,216.129,dr5
0.2381,218.9151,dr5
0.2309,219.9435,dr5
0.2237,218.1136,dr5
0.2164,215.9183,dr5
0.2092,214.8096,dr5
0.202,211.9164,dr5
0.1948,209.388,dr5
0.1876,207.031,dr5
0.1804,211.2257,dr5
0.1732,219.8518,dr5
0.1659,229.3101,dr5
0.1587,221.4521,dr5
0.1515,218.6984,dr5
0.1443,218.2422,dr5
0.1371,223.6939,dr5
0.1299,230.6047,dr5
0.1226,233.4079,dr5
0.1154,240.3666,dr5
0.1082,242.2544,dr5
0.101,242.7259,dr5
0.0938,240.2545,dr5
0.0866,241.983,dr5
0.0794,244.6828,dr5
0.0721,242.5606,dr5
0.0649,249.9335,dr5
0.0577,254.8111,dr5
0.0505,254.7083,dr5
0.0433,246.358,dr5
0.0361,250.2922,dr5
0.0289,255.4336,dr5
0.0216,257.8235,dr5
0.0144,275.3368,dr5
0.0072,288.0136,dr5
0,283.3933,dr5
0.4762,695,zat12
0.469,703.8345,zat12
0.4618,675.3167,zat12
0.4546,683.339,zat12
0.4473,711.1186,zat12
0.4401,743.8983,zat12
0.4329,756.3976,zat12
0.4257,787.4639,zat12
0.4185,766.1558,zat12
0.4113,760.6094,zat12
0.404,760.5632,zat12
0.3968,745.2195,zat12
0.3896,772.3788,zat12
0.3824,789.638,zat12
0.3752,811.8409,zat12
0.368,775.3577,zat12
0.3608,709.9841,zat12
0.3535,671.7247,zat12
0.3463,687.1124,zat12
0.3391,768.2405,zat12
0.3319,857.2424,zat12
0.3247,893.5411,zat12
0.3175,853.8307,zat12
0.3103,815.3834,zat12
0.303,670.0031,zat12
0.2958,542.1954,zat12
0.2886,488.9085,zat12
0.2814,532.4778,zat12
0.2742,619.201,zat12
0.267,646.0112,zat12
0.2597,706.9393,zat12
0.2525,748.1226,zat12
0.2453,879.9557,zat12
0.2381,1196.2815,zat12
0.2309,1570.4523,zat12
0.2237,1599.8643,zat12
0.2165,1581.6832,zat12
0.2092,1364.2532,zat12
0.202,1075.4037,zat12
0.1948,874.9957,zat12
0.1876,885.2029,zat12
0.1804,868.8256,zat12
0.1732,994.014,zat12
0.166,1183.2227,zat12
0.1587,1181.8578,zat12
0.1515,1038.6315,zat12
0.1443,1383.1288,zat12
0.1371,1978.651,zat12
0.1299,2457.6533,zat12
0.1227,2042.76,zat12
0.1154,1122.0242,zat12
0.1082,616.6375,zat12
0.101,453.7715,zat12
0.0938,499.3761,zat12
0.0866,672.6992,zat12
0.0794,937.845,zat12
0.0722,1006.2972,zat12
0.0649,873.9273,zat12
0.0577,809.3188,zat12
0.0505,637.8158,zat12
0.0433,594.5852,zat12
0.0361,835.7988,zat12
0.0289,1310.83,zat12
0.0217,1422.8259,zat12
0.0144,1473.1025,zat12
0.0072,1433.1703,zat12
0,1395.3318,zat12
0.3102,249,zat12
0.303,288.6632,zat12
0.2958,287.4298,zat12
0.2886,267.7145,zat12
0.2813,292.2488,zat12
0.2741,330.4997,zat12
0.2669,375.5662,zat12
0.2597,467.5844,zat12
0.2525,546.6308,zat12
0.2453,628.9236,zat12
0.238,757.7582,zat12
0.2308,908.2059,zat12
0.2236,977.9338,zat12
0.2164,1016.9098,zat12
0.2092,1019.4924,zat12
0.202,1087.8303,zat12
0.1948,1331.8096,zat12
0.1875,1426.4618,zat12
0.1803,1292.678,zat12
0.1731,981.7616,zat12
0.1659,761.7283,zat12
0.1587,642.4648,zat12
0.1515,592.3224,zat12
0.1443,625.277,zat12
0.137,626.6389,zat12
0.1298,720.4576,zat12
0.1226,911.437,zat12
0.1154,1105.9052,zat12
0.1082,1090.2603,zat12
0.101,1103.1654,zat12
0.0937,1557.5756,zat12
0.0865,2251.7825,zat12
0.0793,3253.8459,zat12
0.0721,3841.5842,zat12
0.0649,3925.5369,zat12
0.0577,4012.875,zat12
0.0505,4743.5303,zat12
0.0432,4526.8042,zat12
0.036,3528.134,zat12
0.0288,2446.4663,zat12
0.0216,2018.8042,zat12
0.0144,1371.8091,zat12
0.0072,969.9523,zat12
0,752.7583,zat12
0.4185,1414,zat12
0.4113,1647.7982,zat12
0.4041,1778.049,zat12
0.3969,1648.8899,zat12
0.3896,1793.6599,zat12
0.3824,1913.9022,zat12
0.3752,1812.1802,zat12
0.368,1538.6002,zat12
0.3608,1519.6497,zat12
0.3536,1606.3361,zat12
0.3463,1691.9747,zat12
0.3391,1854.4642,zat12
0.3319,1701.3247,zat12
0.3247,1656.8367,zat12
0.3175,1649.8521,zat12
0.3103,1721.9468,zat12
0.3031,1346.7251,zat12
0.2958,1035.7034,zat12
0.2886,738.9822,zat12
0.2814,772.11,zat12
0.2742,1090.7593,zat12
0.267,1383.2117,zat12
0.2598,1512.0845,zat12
0.2526,1070.4073,zat12
0.2453,815.2177,zat12
0.2381,869.1116,zat12
0.2309,867.9744,zat12
0.2237,722.2805,zat12
0.2165,749.8636,zat12
0.2093,994.9271,zat12
0.202,1375.5099,zat12
0.1948,1567.6063,zat12
0.1876,1419.084,zat12
0.1804,1541.4951,zat12
0.1732,1757.0186,zat12
0.166,1973.374,zat12
0.1588,2011.3923,zat12
0.1515,1858.3329,zat12
0.1443,1664.281,zat12
0.1371,1306.0443,zat12
0.1299,1031.2961,zat12
0.1227,913.7903,zat12
0.1155,595.0293,zat12
0.1083,369.7982,zat12
0.101,273.4027,zat12
0.0938,260.9766,zat12
0.0866,273.8316,zat12
0.0794,271.2867,zat12
0.0722,298.6289,zat12
0.065,377.8243,zat12
0.0577,390.9897,zat12
0.0505,419.5029,zat12
0.0433,441.3795,zat12
0.0361,389.0432,zat12
0.0289,330.1584,zat12
0.0217,295.646,zat12
0.0145,292.3578,zat12
0.0072,306.3836,zat12
0,271.2937,zat12
0.5988,879,zat12
0.5916,1073.317,zat12
0.5844,1214.8329,zat12
0.5772,1119.2394,zat12
0.5699,1367.3627,zat12
0.5627,1525.8372,zat12
0.5555,1832.2507,zat12
0.5483,1724.2324,zat12
0.5411,1558.7582,zat12
0.5339,1203.2598,zat12
0.5266,1002.6735,zat12
0.5194,860.6738,zat12
0.5122,779.6061,zat12
0.505,690.9219,zat12
0.4978,643.366,zat12
0.4906,627.0757,zat12
0.4834,727.9756,zat12
0.4761,841.4006,zat12
0.4689,887.0684,zat12
0.4617,854.6531,zat12
0.4545,1012.6625,zat12
0.4473,1092.6548,zat12
0.4401,1241.3468,zat12
0.4329,1252.1597,zat12
0.4256,1352.5576,zat12
0.4184,1400.5575,zat12
0.4112,1393.6937,zat12
0.404,1264.9246,zat12
0.3968,1135.2881,zat12
0.3896,1130.9795,zat12
0.3823,943.4667,zat12
0.3751,838.0252,zat12
0.3679,591.0621,zat12
0.3607,567.0508,zat12
0.3535,571.275,zat12
0.3463,522.6183,zat12
0.3391,511.013,zat12
0.3318,567.0719,zat12
0.3246,614.2341,zat12
0.3174,547.1498,zat12
0.3102,503.3042,zat12
0.303,726.3906,zat12
0.2958,943.2127,zat12
0.2886,959.6752,zat12
0.2813,968.5912,zat12
0.2741,1011.1216,zat12
0.2669,1037.317,zat12
0.2597,1279.7233,zat12
0.2525,1342.6711,zat12
0.2453,1543.8668,zat12
0.238,1520.368,zat12
0.2308,1280.0468,zat12
0.2236,1194.5189,zat12
0.2164,1008.0801,zat12
0.2092,941.8163,zat12
0.202,896.1733,zat12
0.1948,905.186,zat12
0.1875,938.6525,zat12
0.1803,889.2773,zat12
0.1731,1107.0818,zat12
0.1659,1409.1127,zat12
0.1587,1656.4728,zat12
0.1515,1935.8281,zat12
0.1443,1893.7745,zat12
0.137,1834.2782,zat12
0.1298,1850.4609,zat12
0.1226,2007.1595,zat12
0.1154,2254.1091,zat12
0.1082,1917.0583,zat12
0.101,1655.9486,zat12
0.0937,1773.231,zat12
0.0865,1809.9845,zat12
0.0793,1987.8103,zat12
0.0721,2427.8462,zat12
0.0649,2606.6943,zat12
0.0577,2700.9858,zat12
0.0505,2436.1433,zat12
0.0432,1999.2665,zat12
0.036,1299.7151,zat12
0.0288,1217.5549,zat12
0.0216,1595.6781,zat12
0.0144,1510.6729,zat12
0.0072,1342.5787,zat12
0,1056.8595,zat12
0.6638,567,zat12
0.6566,462.2867,zat12
0.6494,397.6193,zat12
0.6422,341.1668,zat12
0.6349,334.5829,zat12
0.6277,454.6684,zat12
0.6205,558.7708,zat12
0.6133,585.053,zat12
0.6061,563.6035,zat12
0.5989,555.7829,zat12
0.5916,536.7616,zat12
0.5844,597.0374,zat12
0.5772,761.7787,zat12
0.57,819.5312,zat12
0.5628,711.3337,zat12
0.5556,564.4053,zat12
0.5484,525.6842,zat12
0.5411,588.0009,zat12
0.5339,654.02,zat12
0.5267,715.17,zat12
0.5195,738.34,zat12
0.5123,767.13,zat12
0.5051,822.32,zat12
0.4979,864.74,zat12
0.4906,824.29,zat12
0.4834,748.31,zat12
0.4762,650.94,zat12
0.469,657.7,zat12
0.4618,757.91,zat12
0.4546,837.63,zat12
0.4473,818.66,zat12
0.4401,732.64,zat12
0.4329,680.53,zat12
0.4257,624.68,zat12
0.4185,553.16,zat12
0.4113,502.5,zat12
0.4041,486.45,zat12
0.3968,496.67,zat12
0.3896,563.93,zat12
0.3824,660.09,zat12
0.3752,690.16,zat12
0.368,637.65,zat12
0.3608,585.56,zat12
0.3536,576.24,zat12
0.3463,579.88,zat12
0.3391,617.83,zat12
0.3319,634.52,zat12
0.3247,581.65,zat12
0.3175,543.14,zat12
0.3103,446.94,zat12
0.303,427.51,zat12
0.2958,571.53,zat12
0.2886,751.57,zat12
0.2814,954.4649,zat12
0.2742,1098.2622,zat12
0.267,988.4629,zat12
0.2598,804.9796,zat12
0.2525,699.9688,zat12
0.2453,767.3181,zat12
0.2381,847.1941,zat12
0.2309,936.3882,zat12
0.2237,966.5411,zat12
0.2165,913.3271,zat12
0.2093,896.8649,zat12
0.202,968.6029,zat12
0.1948,1009.0443,zat12
0.1876,1121.5332,zat12
0.1804,1287.1975,zat12
0.1732,1434.5894,zat12
0.166,1372.9281,zat12
0.1587,1295.8768,zat12
0.1515,1356.6188,zat12
0.1443,1536.7421,zat12
0.1371,1547.3489,zat12
0.1299,1410.7053,zat12
0.1227,1229.5978,zat12
0.1155,1059.3164,zat12
0.1082,949.528,zat12
0.101,950.3938,zat12
0.0938,1070.7275,zat12
0.0866,1287.8467,zat12
0.0794,1666.427,zat12
0.0722,2194.5173,zat12
0.065,2636.2795,zat12
0.0577,3158.6399,zat12
0.0505,3812.1169,zat12
0.0433,4358.4956,zat12
0.0361,4365.9019,zat12
0.0289,3853.738,zat12
0.0217,3127.2126,zat12
0.0144,2398.918,zat12
0.0072,1963.3833,zat12
0,1858.5173,zat12
0.3319,426,zat12
0.3247,453.9957,zat12
0.3175,409.137,zat12
0.3103,346.4426,zat12
0.303,277.9065,zat12
0.2958,261.5163,zat12
0.2886,283.5085,zat12
0.2814,305.7265,zat12
0.2742,332.5915,zat12
0.267,323.5635,zat12
0.2597,267.872,zat12
0.2525,281.5027,zat12
0.2453,294.2277,zat12
0.2381,299.0184,zat12
0.2309,324.1688,zat12
0.2237,393.6214,zat12
0.2165,530.4107,zat12
0.2092,605.7299,zat12
0.202,452.0862,zat12
0.1948,362.8251,zat12
0.1876,424.7756,zat12
0.1804,684.4227,zat12
0.1732,1280.4989,zat12
0.166,2084.2634,zat12
0.1587,2475.2651,zat12
0.1515,2815.1685,zat12
0.1443,3115.2693,zat12
0.1371,3421.4084,zat12
0.1299,3756.2563,zat12
0.1227,4255.0024,zat12
0.1154,4508.8911,zat12
0.1082,4832.085,zat12
0.101,5191,zat12
0.0938,5711.3198,zat12
0.0866,6370.96,zat12
0.0794,6689.6001,zat12
0.0722,6527.8799,zat12
0.0649,6290,zat12
0.0577,4853.96,zat12
0.0505,3732.76,zat12
0.0433,3017.3601,zat12
0.0361,2551.6001,zat12
0.0289,2009,zat12
0.0217,1634.16,zat12
0.0144,1431.16,zat12
0.0072,1274.5601,zat12
0,1043.72,zat12
0.671,1921,zat12
0.6638,1511.2853,zat12
0.6566,1568.1897,zat12
0.6494,1679.166,zat12
0.6421,1484.4069,zat12
0.6349,1136.6202,zat12
0.6277,873.4663,zat12
0.6205,793.2636,zat12
0.6133,848.7563,zat12
0.6061,914.9733,zat12
0.5988,1050.8561,zat12
0.5916,1021.1448,zat12
0.5844,971.8018,zat12
0.5772,1111.7563,zat12
0.57,1211.2446,zat12
0.5628,1198.6799,zat12
0.5556,1195.8727,zat12
0.5483,1108.9626,zat12
0.5411,1062.4207,zat12
0.5339,1221.1792,zat12
0.5267,1279.4475,zat12
0.5195,1000.4407,zat12
0.5123,1100.8536,zat12
0.5051,1412.8572,zat12
0.4978,1447.2163,zat12
0.4906,1353.6395,zat12
0.4834,1387.3114,zat12
0.4762,1641.0461,zat12
0.469,1721.4619,zat12
0.4618,1404.1653,zat12
0.4545,1386.024,zat12
0.4473,1445.4965,zat12
0.4401,1574.4435,zat12
0.4329,1706.1582,zat12
0.4257,1615.8303,zat12
0.4185,1360.7307,zat12
0.4113,1187.9412,zat12
0.404,1069.5839,zat12
0.3968,1010.817,zat12
