"","X","image","time_in_serie","segment_id","length","direction","start_x","start_y","end_x","end_y","environment","reporter_id","intensity","intensity_ratio","diameter","rep_x","rep_y","time","group","length_rel","startx","starty","endy","endx"
"54",54,"60-15-col-ww-2.tif",1,"1da72805-b803-4bbe-978e-d3796075644c",61.073727,50.31,973,155,1020,194,59.41,-1,-1,-1,-1,-1,-1,15,3,0.21,973,2142,2103,1020
"55",55,"60-15-col-ww-2.tif",1,"3b50ca94-2082-4e6a-ae0a-83466b707997",139.58868,28.22,890,167,824,290,56.14,-1,-1,-1,-1,-1,-1,15,3,0.47,890,2130,2007,824
"56",56,"60-15-col-ww-2.tif",1,"41501777-9b23-48af-b52e-959d43dde1fd",29.068884,63.43,943,169,969,182,57.68,-1,-1,-1,-1,-1,-1,15,3,0.1,943,2128,2115,969
"57",57,"60-15-col-ww-2.tif",1,"b69efed6-b062-43a3-9ede-0aa4b2fb9b84",41.59327,9.69,943,171,950,212,62.39,-1,-1,-1,-1,-1,-1,15,3,0.14,943,2126,2085,950
"58",58,"60-15-col-ww-2.tif",1,"d7c68851-0725-4b0d-af32-44a752d33797",297.6592,32.52,948,172,788,423,53.43,-1,-1,-1,-1,-1,-1,15,3,1,948,2125,1874,788
"59",59,"60-15-col-ww-2.tif",1,"5a5706f9-de57-428a-b2e9-1fe81ab249df",51.40039,52.91,966,183,1007,214,55.95,-1,-1,-1,-1,-1,-1,15,3,0.17,966,2114,2083,1007
"60",60,"60-15-col-ww-2.tif",1,"c1043909-8e7c-40a9-aeee-1c1ea5bd06bc",32.649654,27.35,1025,203,1040,232,51.2,-1,-1,-1,-1,-1,-1,15,3,0.11,1025,2094,2065,1040
"61",61,"60-15-col-ww-2.tif",1,"f42e7b7d-f52c-4a9c-8ca9-1a1a977133c8",29.15476,30.96,960,212,975,237,56.23,-1,-1,-1,-1,-1,-1,15,3,0.1,960,2085,2060,975
"62",62,"60-15-col-ww-2.tif",1,"06ec638d-f708-4867-9e76-d59a0a2de721",104.89042,41.13,946,235,877,314,61.66,-1,-1,-1,-1,-1,-1,15,3,0.35,946,2062,1983,877
"63",63,"60-15-col-ww-2.tif",1,"5789b328-91c6-4c1a-acfb-996ad0ca2687",73.409805,24.12,1056,253,1086,320,49.27,-1,-1,-1,-1,-1,-1,15,3,0.25,1056,2044,1977,1086
"64",64,"60-15-col-ww-2.tif",1,"1888a766-1d72-4e34-9c79-baab5560e39a",27.202942,72.9,1128,262,1154,270,58.95,-1,-1,-1,-1,-1,-1,15,3,0.09,1128,2035,2027,1154
"65",65,"60-15-col-ww-2.tif",1,"bcc75e32-eff4-4756-a767-cc5e4c4bb976",63.529522,28.18,1183,280,1153,336,49.55,-1,-1,-1,-1,-1,-1,15,3,0.21,1183,2017,1961,1153
"66",66,"60-15-col-ww-2.tif",1,"ead3ea11-c74f-4bc5-a3a6-e728c4cc8915",99.764725,47.03,1042,292,1115,360,46.95,-1,-1,-1,-1,-1,-1,15,3,0.34,1042,2005,1937,1115
