"","accession","angle","count"
"70","bay",48,1.15261256694794
"71","bay",50,0.980684101581573
"72","bay",52,1.03348791599274
"73","bay",54,0.988971889019012
"74","bay",56,0.906932711601257
"75","bay",58,0.813817024230957
"76","bay",60,0.880031883716583
"77","bay",62,0.784924805164337
"78","bay",64,0.71960586309433
"79","bay",66,0.681265592575073
"80","bay",68,0.736486434936523
"81","bay",70,0.623842537403107
"82","bay",72,0.523214817047119
"83","bay",74,0.617947936058044
"84","bay",76,0.604772746562958
"85","bay",78,0.544543743133545
"86","bay",80,0.505192041397095
"87","bay",82,0.541227340698242
"88","bay",84,0.569686532020569
"89","bay",86,0.583599984645844
"90","bay",88,0.457475304603577
"91","col",90,0.851582467556
"92","col",88,0.630001544952393
"93","col",86,0.67214298248291
"94","col",84,0.75387579202652
"95","col",82,0.756395399570465
"96","col",80,0.852495431900024
"97","col",78,1.17697596549988
"98","col",76,1.10220515727997
"99","col",74,1.23222410678864
"100","col",72,1.25668227672577
"101","col",70,1.45241022109985
"102","col",68,1.44306313991547
"103","col",66,1.42535042762756
"104","col",64,1.47518789768219
"105","col",62,1.4426429271698
"106","col",60,1.48635101318359
"107","col",58,1.66108286380768
"108","col",56,1.58494293689728
"109","col",54,1.53167366981506
"110","col",52,1.4839243888855
"111","col",50,1.54645121097565
"112","col",48,1.45490527153015
"113","col",46,1.87853300571442
"114","col",44,1.45029473304749
"115","col",42,1.47546708583832
"116","col",40,1.40408158302307
"117","col",38,1.28360044956207
"118","col",36,1.29511594772339
"119","col",34,1.21829760074615
"120","col",32,1.04457199573517
"121","col",30,1.07030737400055
"122","col",28,1.03990733623505
"123","col",26,1.01449799537659
"124","col",24,0.864311695098877
"125","col",22,0.859453737735748
"126","col",20,0.914665877819061
"127","col",18,1.00007653236389
"128","col",16,0.887341678142548
"129","col",14,1.22442007064819
"130","col",12,1.04576182365417
"131","col",10,1.07596933841705
"132","col",8,0.943476736545563
"133","col",6,0.879469692707062
"134","col",4,0.889665305614471
"135","col",2,1.01668846607208
"136","col",1.27222193825778e-13,1.19473814964294
"137","col",2,0.89300799369812
"138","col",4,0.832167208194733
"139","col",6,0.900209128856659
"140","col",8,0.831090986728668
"141","col",10,1.01406335830688
"142","col",12,1.21564769744873
"143","col",14,1.18492746353149
"144","col",16,1.20277607440948
"145","col",18,1.13236582279205
"146","col",20,1.16537380218506
"147","col",22,1.09273743629456
"148","col",24,1.0746556520462
"149","col",26,1.0510425567627
"150","col",28,1.09094560146332
"151","col",30,1.13329660892487
"152","col",32,1.36078250408173
"153","col",34,1.4226188659668
"154","col",36,1.13471150398254
"155","col",38,1.05460250377655
"156","col",40,1.07216036319733
