image,time_in_serie,rep_id,intensity,intensity_ratio,diameter,repx,repy
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,5477efe3-9eab-4e34-a9e4-e2082f119831,7.443439,2.1781154,35.608986,582,1360
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,9e3b4d23-1113-4abd-8a0a-47e4ebc0db70,8.081579,2.0618691,60.74537,1397,1384
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,567e37e0-c114-4cc0-addf-e88ddc8339b7,5.136752,2.3627288,30.805843,802,1407
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,4c2a7a9d-ac94-49b6-849f-e3d87ed3389f,11.06701,2.5687006,53.75872,801,1470
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,215a6957-7af1-408e-9b3d-d44ffc10360b,5.581081,1.5569007,41.4367,663,1491
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,cad56bb3-e5c4-4ba0-b888-57bd63455185,8.782609,2.2779348,24.083189,753,1509
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,85d42497-9a1c-47fd-b609-235c31d86934,9.315789,2.368039,21.260292,1121,1569
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,0f126333-791a-445a-b7f8-04a61cabf8c4,5.5545025,1.6143345,56.400356,697,1598
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,e1586f67-d2a7-4285-a518-f51dd6e7ed15,12.831169,3.200607,47.042534,980,1636
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,3a3ef47a-a305-445e-aaa8-81fa53a9a095,12.079365,2.8830488,24.083189,890,1679
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,1055a0c4-a0e5-41a2-899b-aaa412c674a7,10.59396,2.5764966,42.544094,813,1713
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,597cabc7-0e97-41c2-ad73-a86183990662,12.646826,2.6557891,27.45906,982,1742
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,d782d94e-33b0-4cc5-ab28-5e494160e2b9,9.472492,2.691493,38.587563,1092,1810
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,fb60ed50-3c83-4ee1-bf4a-be342fd8d19d,6.1654677,1.7771295,27.58623,1215,1853
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,1e7fcefe-ed16-46a7-a099-29c6adeb9f5f,7.2537313,2.0781894,27.513634,819,1901
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,74640aac-0c55-42ce-b35c-389161385eb8,6.5588236,1.8262333,41.340054,1183,1903
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,6d9bd9e8-0874-4088-89db-be1e9afba620,9.327338,2.3991516,42.544094,794,1932
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,f287f3af-2a8b-43e0-a1ae-d1549982d859,5.926316,1.8259325,18.601076,1134,1951
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,b797f3fb-ec60-4561-a2ca-f3ecc129e7c0,7.341772,2.337931,21.023796,801,1959
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,7c79dbca-7477-40d8-b1e0-0f6b517eef38,6.3030305,1.9971154,24.839485,883,2028
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,d036d50c-f7a2-4615-9017-a3f22e08e904,7,1.5714285,18.788294,834,2038
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,aee53343-9e48-43ce-9929-55bdfca032a3,8.703704,2.081915,18.027756,856,2072
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,22002b18-6717-4a65-8dd5-76570bf68c60,6.839416,1.8922092,23.259407,853,2129
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,9ed9132c-2067-4f3f-adbf-a537a718a211,6.826389,1.8138353,18.601076,911,2243
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,d2d7950a-995d-4ed7-95d6-38bc0ca273fd,6.736,1.9216152,20.615528,946,2302
