"","experiment","das","genotype","light","plant","aq","x","y","angle","count"
"350","32","20","col","dark","17","1",0,0,68,1.224961996
"351","32","20","col","dark","17","1",0,0,70,1.028616667
"352","32","20","col","dark","17","1",0,0,72,0.8961133361
"353","32","20","col","dark","17","1",0,0,74,0.8651793599
"354","32","20","col","dark","17","1",0,0,76,0.7118404508
"355","32","20","col","dark","17","1",0,0,78,0.5970014334
"356","32","20","col","dark","17","1",0,0,80,0.6716251373
"357","32","20","col","dark","17","1",0,0,82,0.4836473167
"358","32","20","col","dark","17","1",0,0,84,0.5626921654
"359","32","20","col","dark","17","1",0,0,86,0.6028981805
"360","32","20","col","dark","17","1",0,0,88,0.5236807466
"361","32","20","col","light","18","1",0,0,90,0.5256248713
"362","32","20","col","light","18","1",0,0,88,0.3974277675
"363","32","20","col","light","18","1",0,0,86,0.4122877121
"364","32","20","col","light","18","1",0,0,84,0.4007809162
"365","32","20","col","light","18","1",0,0,82,0.617518127
"366","32","20","col","light","18","1",0,0,80,0.4120183587
"367","32","20","col","light","18","1",0,0,78,0.5052408576
"368","32","20","col","light","18","1",0,0,76,0.550278306
"369","32","20","col","light","18","1",0,0,74,0.5863333344
"370","32","20","col","light","18","1",0,0,72,0.5327518582
"371","32","20","col","light","18","1",0,0,70,0.4994086921
"372","32","20","col","light","18","1",0,0,68,0.6258458495
"373","32","20","col","light","18","1",0,0,66,0.6590343118
"374","32","20","col","light","18","1",0,0,64,0.6492994428
"375","32","20","col","light","18","1",0,0,62,0.7414146066
"376","32","20","col","light","18","1",0,0,60,0.8158889413
"377","32","20","col","light","18","1",0,0,58,0.7910326123
"378","32","20","col","light","18","1",0,0,56,0.9383399487
"379","32","20","col","light","18","1",0,0,54,0.8736591935
"380","32","20","col","light","18","1",0,0,52,0.8842811584
"381","32","20","col","light","18","1",0,0,50,0.8725684881
"382","32","20","col","light","18","1",0,0,48,0.9309344888
"383","32","20","col","light","18","1",0,0,46,1.101397753
"384","32","20","col","light","18","1",0,0,44,1.054220557
"385","32","20","col","light","18","1",0,0,42,1.148625851
"386","32","20","col","light","18","1",0,0,40,0.94239223
"387","32","20","col","light","18","1",0,0,38,0.983956039
"388","32","20","col","light","18","1",0,0,36,0.9560080171
"389","32","20","col","light","18","1",0,0,34,1.023470521
"390","32","20","col","light","18","1",0,0,32,1.083286643
"391","32","20","col","light","18","1",0,0,30,1.08851862
"392","32","20","col","light","18","1",0,0,28,1.090000153
"393","32","20","col","light","18","1",0,0,26,1.255278826
"394","32","20","col","light","18","1",0,0,24,1.159285784
"395","32","20","col","light","18","1",0,0,22,1.101459026
"396","32","20","col","light","18","1",0,0,20,1.178670764
"397","32","20","col","light","18","1",0,0,18,1.177583218
"398","32","20","col","light","18","1",0,0,16,1.136853695
"399","32","20","col","light","18","1",0,0,14,1.241258264
"400","32","20","col","light","18","1",0,0,12,1.13263762
"401","32","20","col","light","18","1",0,0,10,1.239515424
"402","32","20","col","light","18","1",0,0,8,1.248215199
"403","32","20","col","light","18","1",0,0,6,1.447119236
"404","32","20","col","light","18","1",0,0,4,1.716474652
"405","32","20","col","light","18","1",0,0,2,1.887916327
"406","32","20","col","light","18","1",0,0,1.27e-13,2.363825321
"407","32","20","col","light","18","1",0,0,2,1.731300592
"408","32","20","col","light","18","1",0,0,4,1.878326178
"409","32","20","col","light","18","1",0,0,6,1.754565001
"410","32","20","col","light","18","1",0,0,8,1.948217392
"411","32","20","col","light","18","1",0,0,10,2.01778245
"412","32","20","col","light","18","1",0,0,12,2.012408018
"413","32","20","col","light","18","1",0,0,14,2.04059577
"414","32","20","col","light","18","1",0,0,16,1.994508505
"415","32","20","col","light","18","1",0,0,18,2.029676199
"416","32","20","col","light","18","1",0,0,20,2.125730515
"417","32","20","col","light","18","1",0,0,22,1.884604931
"418","32","20","col","light","18","1",0,0,24,1.750821114
"419","32","20","col","light","18","1",0,0,26,2.017117739
"420","32","20","col","light","18","1",0,0,28,1.832852602
"421","32","20","col","light","18","1",0,0,30,1.741404176
"422","32","20","col","light","18","1",0,0,32,1.551814437
"423","32","20","col","light","18","1",0,0,34,1.573751807
"424","32","20","col","light","18","1",0,0,36,1.416764617
"425","32","20","col","light","18","1",0,0,38,1.359561086
"426","32","20","col","light","18","1",0,0,40,1.297707677
"427","32","20","col","light","18","1",0,0,42,1.128501058
"428","32","20","col","light","18","1",0,0,44,1.308381796
"429","32","20","col","light","18","1",0,0,46,1.050849915
"430","32","20","col","light","18","1",0,0,48,0.9457957745
"431","32","20","col","light","18","1",0,0,50,0.9817328453
"432","32","20","col","light","18","1",0,0,52,0.925059855
"433","32","20","col","light","18","1",0,0,54,1.085309625
"434","32","20","col","light","18","1",0,0,56,1.106210232
"435","32","20","col","light","18","1",0,0,58,1.032335162
"436","32","20","col","light","18","1",0,0,60,0.9503415823
"437","32","20","col","light","18","1",0,0,62,0.9265500307
"438","32","20","col","light","18","1",0,0,64,0.8925154209
"439","32","20","col","light","18","1",0,0,66,0.8702532649
"440","32","20","col","light","18","1",0,0,68,0.7594812512
"441","32","20","col","light","18","1",0,0,70,0.8941460848
"442","32","20","col","light","18","1",0,0,72,0.8478357792
"443","32","20","col","light","18","1",0,0,74,0.8660046458
"444","32","20","col","light","18","1",0,0,76,0.6177069545
"445","32","20","col","light","18","1",0,0,78,0.5678126216
"446","32","20","col","light","18","1",0,0,80,0.5648159981
"447","32","20","col","light","18","1",0,0,82,0.5022839904
"448","32","20","col","light","18","1",0,0,84,0.4696803391
"449","32","20","col","light","18","1",0,0,86,0.4249121845
"450","32","20","col","light","18","1",0,0,88,0.3420335054
"451","32","20","col","light","19","1",0,0,90,0.3687467873
"452","32","20","col","light","19","1",0,0,88,0.3064749837
"453","32","20","col","light","19","1",0,0,86,0.2652177513
"454","32","20","col","light","19","1",0,0,84,0.285540849
"455","32","20","col","light","19","1",0,0,82,0.3796684146
"456","32","20","col","light","19","1",0,0,80,0.3416541219
"457","32","20","col","light","19","1",0,0,78,0.2927060723
"458","32","20","col","light","19","1",0,0,76,0.3678436577
"459","32","20","col","light","19","1",0,0,74,0.3446471989
"460","32","20","col","light","19","1",0,0,72,0.3757535219
"461","32","20","col","light","19","1",0,0,70,0.4144447446
"462","32","20","col","light","19","1",0,0,68,0.3938993514
"463","32","20","col","light","19","1",0,0,66,0.3433539569
"464","32","20","col","light","19","1",0,0,64,0.414378792
"465","32","20","col","light","19","1",0,0,62,0.4433254302
"466","32","20","col","light","19","1",0,0,60,0.5256672502
"467","32","20","col","light","19","1",0,0,58,0.5217561126
"468","32","20","col","light","19","1",0,0,56,0.5856621265
"469","32","20","col","light","19","1",0,0,54,0.5568964481
"470","32","20","col","light","19","1",0,0,52,0.590747118
"471","32","20","col","light","19","1",0,0,50,0.6120848656
"472","32","20","col","light","19","1",0,0,48,0.6679574251
"473","32","20","col","light","19","1",0,0,46,1.001260519
"474","32","20","col","light","19","1",0,0,44,0.814034164
"475","32","20","col","light","19","1",0,0,42,0.9810494781
"476","32","20","col","light","19","1",0,0,40,0.9506168365
"477","32","20","col","light","19","1",0,0,38,0.9612547159
"478","32","20","col","light","19","1",0,0,36,1.096419811
"479","32","20","col","light","19","1",0,0,34,1.220091581
"480","32","20","col","light","19","1",0,0,32,1.198189497
"481","32","20","col","light","19","1",0,0,30,1.32672596
"482","32","20","col","light","19","1",0,0,28,1.410859823
"483","32","20","col","light","19","1",0,0,26,1.495670795
"484","32","20","col","light","19","1",0,0,24,1.529567122
"485","32","20","col","light","19","1",0,0,22,1.303730488
"486","32","20","col","light","19","1",0,0,20,1.413563251
"487","32","20","col","light","19","1",0,0,18,1.474178791
"488","32","20","col","light","19","1",0,0,16,1.567988992
"489","32","20","col","light","19","1",0,0,14,1.563063622
"490","32","20","col","light","19","1",0,0,12,1.668259501
"491","32","20","col","light","19","1",0,0,10,1.458100915
"492","32","20","col","light","19","1",0,0,8,1.468787551
"493","32","20","col","light","19","1",0,0,6,1.68285048
