image, length, angle, x, y
50-22-bay-1-1.tif,5.656854,45.0,4.7907643,2.6984124
50-22-bay-1-1.tif,14.422205,-56.309933,5.656565,2.6984124
50-22-bay-1-1.tif,5.0990195,11.309929,5.151515,2.7128425
50-22-bay-1-1.tif,5.3851647,21.801407,5.367965,2.7417026
50-22-bay-1-1.tif,11.18034,-63.434948,5.1803746,2.7561326
50-22-bay-1-1.tif,28.86174,-14.036247,4.7907643,2.7849927
50-22-bay-1-1.tif,13.416408,-26.565052,5.079365,2.8282826
50-22-bay-1-1.tif,15.6205,50.194427,5.396825,2.8282826
50-22-bay-1-1.tif,9.055386,6.3401947,5.9595957,2.8427126
50-22-bay-1-1.tif,3.1622777,18.434952,5.353535,2.8571427
50-22-bay-1-1.tif,29.206163,-51.952957,4.054834,2.8715727
50-22-bay-1-1.tif,2.236068,26.565048,4.430014,2.8860028
50-22-bay-1-1.tif,4.2426405,45.0,5.670995,2.8860028
50-22-bay-1-1.tif,4.472136,-26.565052,5.598845,2.9004328
50-22-bay-1-1.tif,10.0,53.130096,6.0606055,2.9004328
50-22-bay-1-1.tif,23.259407,64.53665,3.7229435,3.001443
50-22-bay-1-1.tif,9.219544,49.398712,6.002886,3.001443
50-22-bay-1-1.tif,2.236068,26.565048,5.9595957,3.0158727
50-22-bay-1-1.tif,29.15476,67.83365,6.219336,3.0158727
50-22-bay-1-1.tif,22.022715,-50.52754,4.8196244,3.0303028
50-22-bay-1-1.tif,5.656854,-45.0,6.147186,3.0303028
50-22-bay-1-1.tif,23.409399,19.983109,5.108225,3.0447328
50-22-bay-1-1.tif,15.264338,-31.607502,5.483405,3.0447328
50-22-bay-1-1.tif,8.062258,60.25511,5.670995,3.0591629
50-22-bay-1-1.tif,5.3851647,-21.801407,5.627705,3.073593
50-22-bay-1-1.tif,1.4142135,45.0,5.396825,3.088023
50-22-bay-1-1.tif,3.1622777,71.56505,5.310245,3.102453
50-22-bay-1-1.tif,10.198039,11.309929,6.1183257,3.1168828
50-22-bay-1-1.tif,4.472136,63.43495,5.8297253,3.1313128
50-22-bay-1-1.tif,5.0,36.869896,5.396825,3.145743
50-22-bay-1-1.tif,6.3245554,-18.434952,5.9451656,3.160173
50-22-bay-1-1.tif,28.653097,-29.248825,3.8528135,3.174603
50-22-bay-1-1.tif,19.235384,8.972626,5.238095,3.174603
50-22-bay-1-1.tif,10.440307,73.30075,6.652236,3.174603
50-22-bay-1-1.tif,10.816654,-33.690067,5.5555553,3.189033
50-22-bay-1-1.tif,2.236068,63.43495,5.656565,3.189033
50-22-bay-1-1.tif,15.0,-36.869896,6.507936,3.203463
50-22-bay-1-1.tif,25.495098,-25.559967,4.6320343,3.232323
50-22-bay-1-1.tif,7.615773,23.198593,6.305916,3.232323
50-22-bay-1-1.tif,7.615773,-66.80141,6.9264064,3.232323
50-22-bay-1-1.tif,5.8309517,30.963753,5.468975,3.246753
50-22-bay-1-1.tif,8.5440035,69.443954,5.9595957,3.261183
50-22-bay-1-1.tif,6.4031243,-51.34019,5.8441553,3.275613
50-22-bay-1-1.tif,10.770329,68.19859,6.161616,3.290043
50-22-bay-1-1.tif,1.4142135,45.0,6.1183257,3.3044732
50-22-bay-1-1.tif,7.28011,15.945396,5.5411253,3.333333
50-22-bay-1-1.tif,2.236068,26.565048,6.1038957,3.333333
50-22-bay-1-1.tif,8.246211,75.96376,6.349206,3.347763
50-22-bay-1-1.tif,5.8309517,-59.036243,6.681096,3.347763
50-22-bay-1-1.tif,6.3245554,71.56505,6.8253965,3.347763
50-22-bay-1-1.tif,6.3245554,71.56505,5.642135,3.362193
50-22-bay-1-1.tif,7.615773,-23.198593,6.2770557,3.3766232
50-22-bay-1-1.tif,9.055386,6.3401947,6.493506,3.3910532
50-22-bay-1-1.tif,22.561028,-77.19573,3.4487731,3.4054832
50-22-bay-1-1.tif,16.03122,3.576332,6.0894656,3.4054832
50-22-bay-1-1.tif,34.828148,-39.173656,4.8051944,3.4199133
50-22-bay-1-1.tif,2.236068,63.43495,5.2092347,3.4487731
50-22-bay-1-1.tif,1.4142135,45.0,5.5844154,3.4632032
50-22-bay-1-1.tif,6.708204,-63.434948,5.468975,3.4776332
50-22-bay-1-1.tif,8.062258,29.74488,5.266955,3.4920633
50-22-bay-1-1.tif,43.60046,36.60708,5.642135,3.5064933
50-22-bay-1-1.tif,26.400757,-52.696053,3.073593,3.5209234
50-22-bay-1-1.tif,14.56022,15.945396,5.598845,3.5209234
50-22-bay-1-1.tif,40.853397,21.540977,4.0115438,3.5353534
50-22-bay-1-1.tif,28.635643,-77.90524,4.184704,3.5353534
50-22-bay-1-1.tif,2.236068,26.565048,6.450216,3.5497832
50-22-bay-1-1.tif,5.3851647,21.801407,6.507936,3.5497832
50-22-bay-1-1.tif,4.472136,-26.565052,4.603174,3.5930734
50-22-bay-1-1.tif,2.828427,45.0,6.450216,3.5930734
50-22-bay-1-1.tif,8.5440035,69.443954,5.324675,3.6075034
50-22-bay-1-1.tif,1.4142135,45.0,5.483405,3.6075034
50-22-bay-1-1.tif,4.472136,-63.434948,6.8542566,3.6219335
50-22-bay-1-1.tif,32.695564,23.428696,3.6219335,3.6363635
50-22-bay-1-1.tif,2.828427,-45.0,4.1269836,3.6363635
