image, index, ax, ay, bx, by, efd
53-22-low-1-1.tif,5,-44.5521652805,-21.3193495505,-41.905447786,6.9632523447,0.2980325185
53-22-low-2-2.tif,1,919.1428571429,765.2857142857,0,0,3.6224023856
53-22-low-2-2.tif,2,-59.8129086964,-324.7127939629,-302.6011615832,10.9522199151,2
53-22-low-2-2.tif,3,-58.5429037456,-60.383291509,12.3093524326,-42.3556535598,0.4003914132
53-22-low-2-2.tif,4,13.056076596,9.608647699,-17.5840693817,12.9583210729,0.1212341993
53-22-low-2-2.tif,5,-27.9372801431,22.480228577,4.597262041,2.3922315864,0.1257202283
53-22-low-3-3.tif,1,957.5714285714,1063.7857142857,0,0,3.1191203272
53-22-low-3-3.tif,2,-84.8137438492,-450.9691246291,-251.3889503645,350.0359592892,2
53-22-low-3-3.tif,3,-26.0980051414,-0.976079015,-29.6589987299,-51.7018277021,0.1952225516
53-22-low-3-3.tif,4,98.1077545085,-25.311672205,-43.957516418,7.7870819671,0.324390044
53-22-low-3-3.tif,5,-6.879942515,25.5266103097,16.1610801885,26.7119117958,0.1300582598
53-22-low-4-4.tif,1,1063.44,1101.52,0,0,3.1862398565
53-22-low-4-4.tif,2,-17.9763774809,-480.1970464284,-136.2118198218,18.5140354391,2
53-22-low-4-4.tif,3,-9.7370444077,-90.2393093113,-119.6372952885,18.30313134,1.0693215828
53-22-low-4-4.tif,4,4.5779831015,77.7045968485,-30.0986606396,13.0299593725,0.4005782061
53-22-low-4-4.tif,5,10.2716089184,7.0398272478,15.2729445252,16.1708515483,0.1877245896
53-22-low-5-5.tif,1,853.1538461538,845.5384615385,0,0,3.7284631394
53-22-low-5-5.tif,2,-30.4711908788,-320.7176678571,-156.2077565854,143.6725217775,2
53-22-low-5-5.tif,3,-54.7770951133,-41.6385970389,-40.5673604292,-10.5136170841,0.4110374093
53-22-low-5-5.tif,4,30.5741175649,-11.2973075674,-13.6484658218,-6.1030527261,0.1716200769
53-22-low-5-5.tif,5,3.1526397618,29.4320398796,-13.9974262913,43.2532850807,0.3060879664
53-22-low-6-6.tif,1,679.3793103448,766.9655172414,0,0,3.4173429972
53-22-low-6-6.tif,2,57.4246823414,-294.2711100603,-197.1154069754,-63.0200154063,2
53-22-low-6-6.tif,3,4.4443530355,-4.6059302861,-95.2493019475,6.0448980702,0.4825388411
53-22-low-6-6.tif,4,-23.3899787649,-8.4117374624,-1.3062914127,7.5597214283,0.1199760043
53-22-low-6-6.tif,5,2.4517691771,-56.5133505402,-2.8528510764,-12.2533230857,0.2494614397
53-27-high-1-1.tif,1,875.8064516129,1148.8387096774,0,0,2.6330303456
53-27-high-1-1.tif,2,6.4534305485,-548.6072077003,-285.3301870579,-9.0609864762,2
53-27-high-1-1.tif,3,-64.598967992,-44.5388188584,-57.6048991591,-0.8463904694,0.3448242786
53-27-high-1-1.tif,4,11.3886141177,43.4891339067,6.7290190482,39.0245133395,0.2206573657
53-27-high-1-1.tif,5,2.7293981776,45.1311076299,-49.2019797703,58.8243066252,0.3510453159
53-27-high-2-3.tif,1,1008.9285714286,1080.2857142857,0,0,3.9339960697
53-27-high-2-3.tif,2,0.5537605756,-375.7394232025,-252.9504472115,150.0300388542,2
53-27-high-2-3.tif,3,-15.0733087624,-105.5544264354,-44.4138266062,26.4307086512,0.4595100051
53-27-high-2-3.tif,4,23.0738043775,-34.4951832427,-30.9617627379,-8.5342456071,0.2196544904
53-27-high-2-3.tif,5,11.8241167725,0.290504493,-0.2039926146,-35.1930048747,0.1511450892
53-27-high-3-4.tif,1,898.8,750.6,0,0,2.5475889351
53-27-high-3-4.tif,2,23.1683812076,-459.0661619632,-245.2829150599,-45.293402024,2
53-27-high-3-4.tif,3,5.5686917696,63.6747670785,73.9719525541,37.6375447489,0.4718027989
53-27-high-3-4.tif,4,-15.0683812076,25.2661619632,-7.7033486055,-14.5913581647,0.130152221
53-27-high-3-4.tif,5,-0.4686917696,39.5252329215,18.1162975064,-9.8597781556,0.1686868382
53-27-high-4-5.tif,1,997.8518518519,742.0740740741,0,0,3.6809387577
53-27-high-4-5.tif,2,-38.0099758032,-335.6861683624,-139.3391117494,90.1519421025,2
53-27-high-4-5.tif,3,-13.784204976,-32.7334080664,-6.1853139741,-9.0858074767,0.1713622526
53-27-high-4-5.tif,4,23.2184253073,7.2273928044,-3.2790286117,-10.5494286626,0.1385464661
53-27-high-4-5.tif,5,-9.6964844521,-9.5968806639,6.6459315034,-14.6056193563,0.1370723689
53-27-high-5-6.tif,1,891.3793103448,1297.5172413793,0,0,3.41825898
53-27-high-5-6.tif,2,10.7091117929,-460.4025317585,-220.9953457772,-341.131578763,2
53-27-high-5-6.tif,3,40.8574003288,-84.6029033317,-54.1268080859,17.2994507122,0.3438122692
53-27-high-5-6.tif,4,-25.2494788964,-89.4534193291,-57.5787424854,119.1234570262,0.5273468279
53-27-high-5-6.tif,5,-19.9299288849,-13.439553182,-25.6169967207,49.6229685507,0.1895903636
53-27-low-1-1.tif,1,851.2857142857,1068.4285714286,0,0,2.3674473746
53-27-low-1-1.tif,2,-2.1901074963,-577.0305007149,-250.1704585024,26.0521701684,2
