id,label,envi,x,y,group,time_in_serie,hum
162,60-16-col-wd-1.tif,48.69,824.23,3982.16,2,1,27.5697
163,60-16-col-wd-1.tif,41.34,1000.91,100.40,2,1,56.0142
164,60-16-col-wd-1.tif,39.36,988.04,227.70,2,1,63.6768
165,60-16-col-wd-1.tif,40.25,990.94,396.79,2,1,60.2325
166,60-16-col-wd-1.tif,40.01,1000.78,552.30,2,1,61.1613
167,60-16-col-wd-1.tif,39.91,990.80,684.14,2,1,61.5483
168,60-16-col-wd-1.tif,40.28,988.39,834.08,2,1,60.1164
169,60-16-col-wd-1.tif,40.29,977.88,1004.30,2,1,60.0777
170,60-16-col-wd-1.tif,40.59,986.91,1126.82,2,1,58.9167
171,60-16-col-wd-1.tif,40.5,985.25,1288.04,2,1,59.265
172,60-16-col-wd-1.tif,39.48,982.36,1450.55,2,1,63.2124
173,60-16-col-wd-1.tif,41.07,999.28,1582.66,2,1,57.0591
174,60-16-col-wd-1.tif,39.48,996.88,1726.51,2,1,63.2124
175,60-16-col-wd-1.tif,39.53,1003.83,1893.88,2,1,63.0189
176,60-16-col-wd-1.tif,40.18,1003.83,2036.34,2,1,60.5034
177,60-16-col-wd-1.tif,39.95,975.98,2201.92,2,1,61.3935
178,60-16-col-wd-1.tif,40.18,997.61,2330.31,2,1,60.5034
179,60-16-col-wd-1.tif,40.77,991.17,2481.71,2,1,58.2201
180,60-16-col-wd-1.tif,40.52,1005.12,2629.53,2,1,59.1876
181,60-16-col-wd-1.tif,42.31,1000.98,2798.28,2,1,52.2603
182,60-16-col-wd-1.tif,40.97,981.48,2938.45,2,1,57.4461
183,60-16-col-wd-1.tif,39.85,979.69,3095.36,2,1,61.7805
184,60-16-col-wd-1.tif,40.94,1000.98,3235.50,2,1,57.5622
185,60-16-col-wd-1.tif,41.69,989.79,3375.89,2,1,54.6597
186,60-16-col-wd-1.tif,41.73,996.97,3544.58,2,1,54.5049
187,60-16-col-wd-1.tif,42.86,1003.07,3691.54,2,1,50.1318
188,60-16-col-wd-1.tif,42.14,998.71,3828.21,2,1,52.9182
189,60-16-col-wd-1.tif,48.42,983.53,3999.86,2,1,28.6146
190,60-16-col-wd-1.tif,43.18,1135.35,73.17,2,1,48.8934
191,60-16-col-wd-1.tif,40.72,1127.90,251.63,2,1,58.4136
192,60-16-col-wd-1.tif,39.55,1132.66,390.49,2,1,62.9415
193,60-16-col-wd-1.tif,39.97,1142.70,551.37,2,1,61.3161
194,60-16-col-wd-1.tif,39.91,1149.11,682.14,2,1,61.5483
195,60-16-col-wd-1.tif,40.98,1132.66,825.78,2,1,57.4074
196,60-16-col-wd-1.tif,41.01,1126.28,985.14,2,1,57.2913
197,60-16-col-wd-1.tif,39.41,1145.08,1125.23,2,1,63.4833
198,60-16-col-wd-1.tif,40.37,1147.56,1279.21,2,1,59.7681
199,60-16-col-wd-1.tif,41.31,1126.81,1447.10,2,1,56.1303
200,60-16-col-wd-1.tif,41.29,1130.49,1577.31,2,1,56.2077
201,60-16-col-wd-1.tif,41.53,1137.27,1740.16,2,1,55.2789
202,60-16-col-wd-1.tif,41.52,1141.76,1900.67,2,1,55.3176
203,60-16-col-wd-1.tif,39.69,1153.87,2025.11,2,1,62.3997
204,60-16-col-wd-1.tif,40.76,1132.24,2185.52,2,1,58.2588
205,60-16-col-wd-1.tif,40.31,1144.81,2331.77,2,1,60.0003
206,60-16-col-wd-1.tif,40.68,1151.75,2478.25,2,1,58.5684
207,60-16-col-wd-1.tif,42.16,1146.42,2651.41,2,1,52.8408
208,60-16-col-wd-1.tif,40.39,1144.02,2790.61,2,1,59.6907
209,60-16-col-wd-1.tif,40.29,1130.01,2935.61,2,1,60.0777
210,60-16-col-wd-1.tif,41.47,1140.16,3094.00,2,1,55.5111
211,60-16-col-wd-1.tif,41.35,1125.20,3226.94,2,1,55.9755
212,60-16-col-wd-1.tif,44.67,1128.04,3389.67,2,1,43.1271
213,60-16-col-wd-1.tif,43.07,1152.41,3549.49,2,1,49.3191
214,60-16-col-wd-1.tif,43.25,1152.90,3683.10,2,1,48.6225
215,60-16-col-wd-1.tif,43.7,1125.55,3827.17,2,1,46.881
216,60-16-col-wd-1.tif,47.95,1151.69,3982.65,2,1,30.4335
217,60-16-col-wd-1.tif,41.09,1297.47,99.55,2,1,56.9817
218,60-16-col-wd-1.tif,41.26,1288.11,235.93,2,1,56.3238
219,60-16-col-wd-1.tif,40.43,1299.87,403.48,2,1,59.5359
