"","experiment","das","genotype","light","plant","aq","x","y","angle","count"
"154","32","20","col","dark","14","1.tif",0,4.78355,36,2.06732821464539
"155","32","20","col","dark","14","1.tif",0,4.78355,38,1.9131646156311
"156","32","20","col","dark","14","1.tif",0,4.78355,40,2.07681679725647
"157","32","20","col","dark","14","1.tif",0,4.78355,42,1.98722112178802
"158","32","20","col","dark","14","1.tif",0,4.78355,44,2.68798446655273
"159","32","20","col","dark","14","1.tif",0,4.78355,46,2.04057335853577
"160","32","20","col","dark","14","1.tif",0,4.78355,48,1.76236629486084
"161","32","20","col","dark","14","1.tif",0,4.78355,50,1.58124446868896
"162","32","20","col","dark","14","1.tif",0,4.78355,52,1.59294521808624
"163","32","20","col","dark","14","1.tif",0,4.78355,54,1.48350286483765
"164","32","20","col","dark","14","1.tif",0,4.78355,56,1.79379069805145
"165","32","20","col","dark","14","1.tif",0,4.78355,58,1.48013401031494
"166","32","20","col","dark","14","1.tif",0,4.78355,60,1.37120997905731
"167","32","20","col","dark","14","1.tif",0,4.78355,62,1.23127329349518
"168","32","20","col","dark","14","1.tif",0,4.78355,64,1.15922594070435
"169","32","20","col","dark","14","1.tif",0,4.78355,66,1.02093374729156
"170","32","20","col","dark","14","1.tif",0,4.78355,68,0.975994944572449
"171","32","20","col","dark","14","1.tif",0,4.78355,70,0.898285031318665
"172","32","20","col","dark","14","1.tif",0,4.78355,72,0.57486766576767
"173","32","20","col","dark","14","1.tif",0,4.78355,74,0.464557886123657
"174","32","20","col","dark","14","1.tif",0,4.78355,76,0.375059098005295
"175","32","20","col","dark","14","1.tif",0,4.78355,78,0.515391528606415
"176","32","20","col","dark","14","1.tif",0,4.78355,80,0.295122027397156
"177","32","20","col","dark","14","1.tif",0,4.78355,82,0.194425404071808
"178","32","20","col","dark","14","1.tif",0,4.78355,84,0.351765483617783
"179","32","20","col","dark","14","1.tif",0,4.78355,86,0.247146442532539
"180","32","20","col","dark","14","1.tif",0,4.78355,88,0.242370083928108
"181","32","20","col","dark","14","1.tif",0,9.5671,90,1.30834829807281
"182","32","20","col","dark","14","1.tif",0,9.5671,88,1.0053426027298
"183","32","20","col","dark","14","1.tif",0,9.5671,86,0.717562437057495
"184","32","20","col","dark","14","1.tif",0,9.5671,84,0.910043001174927
"185","32","20","col","dark","14","1.tif",0,9.5671,82,0.912566363811493
"186","32","20","col","dark","14","1.tif",0,9.5671,80,0.90700775384903
"187","32","20","col","dark","14","1.tif",0,9.5671,78,1.38677525520325
"188","32","20","col","dark","14","1.tif",0,9.5671,76,1.08682107925415
"189","32","20","col","dark","14","1.tif",0,9.5671,74,0.419429123401642
"190","32","20","col","dark","14","1.tif",0,9.5671,72,0.753831267356873
"191","32","20","col","dark","14","1.tif",0,9.5671,70,0.323577433824539
"192","32","20","col","dark","14","1.tif",0,9.5671,68,1.03706073760986
"193","32","20","col","dark","14","1.tif",0,9.5671,66,1.74432730674744
"194","32","20","col","dark","14","1.tif",0,9.5671,64,1.95787024497986
"195","32","20","col","dark","14","1.tif",0,9.5671,62,1.24421775341034
"196","32","20","col","dark","14","1.tif",0,9.5671,60,1.47131884098053
"197","32","20","col","dark","14","1.tif",0,9.5671,58,1.87991380691528
"198","32","20","col","dark","14","1.tif",0,9.5671,56,1.11080729961395
"199","32","20","col","dark","14","1.tif",0,9.5671,54,0.974987328052521
"200","32","20","col","dark","14","1.tif",0,9.5671,52,0.755627155303955
"201","32","20","col","dark","14","1.tif",0,9.5671,50,1.1153599023819
"202","32","20","col","dark","14","1.tif",0,9.5671,48,1.02126157283783
"203","32","20","col","dark","14","1.tif",0,9.5671,46,0.942811012268066
"204","32","20","col","dark","14","1.tif",0,9.5671,44,0.971079409122467
"205","32","20","col","dark","14","1.tif",0,9.5671,42,0.654969334602356
"206","32","20","col","dark","14","1.tif",0,9.5671,40,0.60925829410553
"207","32","20","col","dark","14","1.tif",0,9.5671,38,0.659246742725372
"208","32","20","col","dark","14","1.tif",0,9.5671,36,1.02509677410126
"209","32","20","col","dark","14","1.tif",0,9.5671,34,1.08816981315613
"210","32","20","col","dark","14","1.tif",0,9.5671,32,1.2732959985733
"211","32","20","col","dark","14","1.tif",0,9.5671,30,0.724335134029388
"212","32","20","col","dark","14","1.tif",0,9.5671,28,0.889082252979279
"213","32","20","col","dark","14","1.tif",0,9.5671,26,0.971762001514435
"214","32","20","col","dark","14","1.tif",0,9.5671,24,1.42546784877777
"215","32","20","col","dark","14","1.tif",0,9.5671,22,1.79228127002716
"216","32","20","col","dark","14","1.tif",0,9.5671,20,1.05178248882294
"217","32","20","col","dark","14","1.tif",0,9.5671,18,1.1731618642807
"218","32","20","col","dark","14","1.tif",0,9.5671,16,1.58124506473541
"219","32","20","col","dark","14","1.tif",0,9.5671,14,2.96954345703125
"220","32","20","col","dark","14","1.tif",0,9.5671,12,2.3312656879425
"221","32","20","col","dark","14","1.tif",0,9.5671,10,3.79673767089844
"222","32","20","col","dark","14","1.tif",0,9.5671,8,1.68575155735016
"223","32","20","col","dark","14","1.tif",0,9.5671,6,2.23219037055969
"224","32","20","col","dark","14","1.tif",0,9.5671,4,2.24819660186768
"225","32","20","col","dark","14","1.tif",0,9.5671,2,2.37633347511292
"226","32","20","col","dark","14","1.tif",0,9.5671,1.27222193825778e-13,3.24709486961365
"227","32","20","col","dark","14","1.tif",0,9.5671,2,1.62527811527252
"228","32","20","col","dark","14","1.tif",0,9.5671,4,1.72145056724548
"229","32","20","col","dark","14","1.tif",0,9.5671,6,1.54580879211426
"230","32","20","col","dark","14","1.tif",0,9.5671,8,2.14214706420898
"231","32","20","col","dark","14","1.tif",0,9.5671,10,1.09457564353943
"232","32","20","col","dark","14","1.tif",0,9.5671,12,1.64717972278595
"233","32","20","col","dark","14","1.tif",0,9.5671,14,1.24507319927216
"234","32","20","col","dark","14","1.tif",0,9.5671,16,1.11673307418823
"235","32","20","col","dark","14","1.tif",0,9.5671,18,0.906503796577454
"236","32","20","col","dark","14","1.tif",0,9.5671,20,1.31817841529846
"237","32","20","col","dark","14","1.tif",0,9.5671,22,0.560020208358765
"238","32","20","col","dark","14","1.tif",0,9.5671,24,0.58274507522583
"239","32","20","col","dark","14","1.tif",0,9.5671,26,0.638081967830658
"240","32","20","col","dark","14","1.tif",0,9.5671,28,0.827971518039703
"241","32","20","col","dark","14","1.tif",0,9.5671,30,0.757843971252441
"242","32","20","col","dark","14","1.tif",0,9.5671,32,0.745916366577148
"243","32","20","col","dark","14","1.tif",0,9.5671,34,0.915612578392029
"244","32","20","col","dark","14","1.tif",0,9.5671,36,0.591336131095886
"245","32","20","col","dark","14","1.tif",0,9.5671,38,0.633417546749115
"246","32","20","col","dark","14","1.tif",0,9.5671,40,0.931154608726501
"247","32","20","col","dark","14","1.tif",0,9.5671,42,0.801060914993286
"248","32","20","col","dark","14","1.tif",0,9.5671,44,0.988249182701111
"249","32","20","col","dark","14","1.tif",0,9.5671,46,0.568138778209686
"250","32","20","col","dark","14","1.tif",0,9.5671,48,1.0700911283493
"251","32","20","col","dark","14","1.tif",0,9.5671,50,0.575309753417969
"252","32","20","col","dark","14","1.tif",0,9.5671,52,1.06867814064026
"253","32","20","col","dark","14","1.tif",0,9.5671,54,1.46830940246582
"254","32","20","col","dark","14","1.tif",0,9.5671,56,1.36030471324921
"255","32","20","col","dark","14","1.tif",0,9.5671,58,0.858362436294556
"256","32","20","col","dark","14","1.tif",0,9.5671,60,0.689974784851074
"257","32","20","col","dark","14","1.tif",0,9.5671,62,0.390907496213913
"258","32","20","col","dark","14","1.tif",0,9.5671,64,0.432028234004974
"259","32","20","col","dark","14","1.tif",0,9.5671,66,0.90651947259903
"260","32","20","col","dark","14","1.tif",0,9.5671,68,0.71649694442749
"261","32","20","col","dark","14","1.tif",0,9.5671,70,0.807038128376007
"262","32","20","col","dark","14","1.tif",0,9.5671,72,0.56192010641098
"263","32","20","col","dark","14","1.tif",0,9.5671,74,0.471983999013901
"264","32","20","col","dark","14","1.tif",0,9.5671,76,0.240287020802498
"265","32","20","col","dark","14","1.tif",0,9.5671,78,0.767888307571411
"266","32","20","col","dark","14","1.tif",0,9.5671,80,0.37255847454071
"267","32","20","col","dark","14","1.tif",0,9.5671,82,0.409419566392899
"268","32","20","col","dark","14","1.tif",0,9.5671,84,0.2551149725914
"269","32","20","col","dark","14","1.tif",0,9.5671,86,0.489848524332047
"270","32","20","col","dark","14","1.tif",0,9.5671,88,0.418265730142593
"271","32","20","col","dark","14","1.tif",0,14.350649,90,13.3092679977417
"272","32","20","col","dark","14","1.tif",0,14.350649,88,0
"273","32","20","col","dark","14","1.tif",0,14.350649,86,0
"274","32","20","col","dark","14","1.tif",0,14.350649,84,0
"275","32","20","col","dark","14","1.tif",0,14.350649,82,0
"276","32","20","col","dark","14","1.tif",0,14.350649,80,0
"277","32","20","col","dark","14","1.tif",0,14.350649,78,0
"278","32","20","col","dark","14","1.tif",0,14.350649,76,0.0647876188158989
"279","32","20","col","dark","14","1.tif",0,14.350649,74,0.965674221515656
"280","32","20","col","dark","14","1.tif",0,14.350649,72,0
"281","32","20","col","dark","14","1.tif",0,14.350649,70,0.0654933676123619
"282","32","20","col","dark","14","1.tif",0,14.350649,68,3.94965672492981
"283","32","20","col","dark","14","1.tif",0,14.350649,66,0
"284","32","20","col","dark","14","1.tif",0,14.350649,64,0.0338758789002895
"285","32","20","col","dark","14","1.tif",0,14.350649,62,0
"286","32","20","col","dark","14","1.tif",0,14.350649,60,0
"287","32","20","col","dark","14","1.tif",0,14.350649,58,0.529745817184448
"288","32","20","col","dark","14","1.tif",0,14.350649,56,6.09637594223022
"289","32","20","col","dark","14","1.tif",0,14.350649,54,0.0882184356451035
"290","32","20","col","dark","14","1.tif",0,14.350649,52,0.0394159965217113
"291","32","20","col","dark","14","1.tif",0,14.350649,50,2.489089012146
"292","32","20","col","dark","14","1.tif",0,14.350649,48,0.129034161567688
"293","32","20","col","dark","14","1.tif",0,14.350649,46,0.000846896960865706
"294","32","20","col","dark","14","1.tif",0,14.350649,44,0
"295","32","20","col","dark","14","1.tif",0,14.350649,42,0.0102333379909396
"296","32","20","col","dark","14","1.tif",0,14.350649,40,0.67687064409256
"297","32","20","col","dark","14","1.tif",0,14.350649,38,0.0137620754539967
"298","32","20","col","dark","14","1.tif",0,14.350649,36,7.16242694854736
"299","32","20","col","dark","14","1.tif",0,14.350649,34,0.0775263607501984
"300","32","20","col","dark","14","1.tif",0,14.350649,32,0.0802670121192932
"301","32","20","col","dark","14","1.tif",0,14.350649,30,0
"302","32","20","col","dark","14","1.tif",0,14.350649,28,1.63640487194061
"303","32","20","col","dark","14","1.tif",0,14.350649,26,2.90600538253784
