"","experiment","plant","das","angle","count"
"263","9","10","13",74,0.614273071289062
"264","9","10","13",76,0.649089097976685
"265","9","10","13",78,0.741810381412506
"266","9","10","13",80,0.536885261535645
"267","9","10","13",82,0.633732378482819
"268","9","10","13",84,0.967318892478943
"269","9","10","13",86,0.887304067611694
"270","9","10","13",88,0.914025545120239
"271","9","10","14",90,1.10477101802826
"272","9","10","14",88,1.08406662940979
"273","9","10","14",86,0.809832215309143
"274","9","10","14",84,0.929140865802765
"275","9","10","14",82,1.18981063365936
"276","9","10","14",80,0.741192519664764
"277","9","10","14",78,0.705525100231171
"278","9","10","14",76,0.635854244232178
"279","9","10","14",74,0.655357539653778
"280","9","10","14",72,0.598045885562897
"281","9","10","14",70,0.616251587867737
"282","9","10","14",68,0.584705948829651
"283","9","10","14",66,0.654295921325684
"284","9","10","14",64,0.544050216674805
"285","9","10","14",62,0.607163369655609
"286","9","10","14",60,0.565584540367126
"287","9","10","14",58,0.848238825798035
"288","9","10","14",56,0.670484602451324
"289","9","10","14",54,0.784853756427765
"290","9","10","14",52,0.783194422721863
"291","9","10","14",50,0.953028619289398
"292","9","10","14",48,0.843579351902008
"293","9","10","14",46,0.914970278739929
"294","9","10","14",44,0.931949734687805
"295","9","10","14",42,1.19872355461121
"296","9","10","14",40,1.15161824226379
"297","9","10","14",38,1.25932323932648
"298","9","10","14",36,1.12562572956085
"299","9","10","14",34,1.36533522605896
"300","9","10","14",32,1.36770105361938
"301","9","10","14",30,1.64910626411438
"302","9","10","14",28,1.67590343952179
"303","9","10","14",26,1.61855661869049
"304","9","10","14",24,1.75949704647064
"305","9","10","14",22,1.7188276052475
"306","9","10","14",20,1.37279379367828
"307","9","10","14",18,1.37506246566772
"308","9","10","14",16,1.47554636001587
"309","9","10","14",14,1.79702281951904
"310","9","10","14",12,1.63846015930176
"311","9","10","14",10,1.52785575389862
"312","9","10","14",8,1.2470428943634
"313","9","10","14",6,1.59902012348175
"314","9","10","14",4,1.85909914970398
"315","9","10","14",2,2.0130889415741
"316","9","10","14",1.27222193825778e-13,2.85357570648193
"317","9","10","14",2,1.4913946390152
"318","9","10","14",4,2.25794816017151
"319","9","10","14",6,2.16181755065918
"320","9","10","14",8,2.19724106788635
"321","9","10","14",10,1.5955411195755
"322","9","10","14",12,2.03682136535645
"323","9","10","14",14,1.19621825218201
"324","9","10","14",16,1.25997090339661
"325","9","10","14",18,1.30596506595612
"326","9","10","14",20,1.14851570129395
"327","9","10","14",22,1.02296507358551
"328","9","10","14",24,1.16172075271606
"329","9","10","14",26,1.05855369567871
"330","9","10","14",28,0.936734139919281
"331","9","10","14",30,0.919751107692719
"332","9","10","14",32,0.973398268222809
"333","9","10","14",34,0.913993537425995
"334","9","10","14",36,0.750260710716248
"335","9","10","14",38,0.706559598445892
"336","9","10","14",40,0.658332288265228
