"","experiment","das","phosphorus","plant","aq","x","y","angle","count"
"234","53","22","high","3","1.tif",0,0,16,1.4436473846
"235","53","22","high","3","1.tif",0,0,18,1.4235198498
"236","53","22","high","3","1.tif",0,0,20,1.4978318214
"237","53","22","high","3","1.tif",0,0,22,1.4961748123
"238","53","22","high","3","1.tif",0,0,24,1.5361987352
"239","53","22","high","3","1.tif",0,0,26,1.3536988497
"240","53","22","high","3","1.tif",0,0,28,1.0457702875
"241","53","22","high","3","1.tif",0,0,30,1.3488805294
"242","53","22","high","3","1.tif",0,0,32,1.1362620592
"243","53","22","high","3","1.tif",0,0,34,0.9942820072
"244","53","22","high","3","1.tif",0,0,36,1.1126315594
"245","53","22","high","3","1.tif",0,0,38,1.2037085295
"246","53","22","high","3","1.tif",0,0,40,1.2420200109
"247","53","22","high","3","1.tif",0,0,42,1.1800928116
"248","53","22","high","3","1.tif",0,0,44,1.1828385592
"249","53","22","high","3","1.tif",0,0,46,1.1542160511
"250","53","22","high","3","1.tif",0,0,48,1.1233872175
"251","53","22","high","3","1.tif",0,0,50,1.4106659889
"252","53","22","high","3","1.tif",0,0,52,1.4350759983
"253","53","22","high","3","1.tif",0,0,54,1.1396150589
"254","53","22","high","3","1.tif",0,0,56,0.9051781297
"255","53","22","high","3","1.tif",0,0,58,0.8210831881
"256","53","22","high","3","1.tif",0,0,60,0.9051647782
"257","53","22","high","3","1.tif",0,0,62,0.7314847112
"258","53","22","high","3","1.tif",0,0,64,0.6810147166
"259","53","22","high","3","1.tif",0,0,66,0.7420693636
"260","53","22","high","3","1.tif",0,0,68,0.6776405573
"261","53","22","high","3","1.tif",0,0,70,0.6843594909
"262","53","22","high","3","1.tif",0,0,72,0.5875099897
"263","53","22","high","3","1.tif",0,0,74,0.5135529041
"264","53","22","high","3","1.tif",0,0,76,0.5183265805
"265","53","22","high","3","1.tif",0,0,78,0.508831799
"266","53","22","high","3","1.tif",0,0,80,0.3640707135
"267","53","22","high","3","1.tif",0,0,82,0.3835346401
