landa,luciferase,area,mean,stdv,min,max
500,vLUC2,5440,1009.063,7.698,985,1061
520,vLUC2,5440,1051.461,76.567,994,1847
540,vLUC2,5440,1111.369,180.245,1008,3212
560,vLUC2,5440,1230.44,362.554,1033,4985
580,vLUC2,5440,1249.443,399.266,1026,5039
600,vLUC2,5440,1180.028,332.057,1010,5121
620,vLUC2,5440,1189.908,341.302,1019,4672
640,vLUC2,5440,1090.086,137.743,1002,2342
660,vLUC2,5440,1059.15,91.251,988,1944
680,vLUC2,5440,1039.555,54.022,987,1478
700,vLUC2,5440,1021.019,19.075,984,1153
500,vLUC2,8330,1008.455,7.494,980,1081
520,vLUC2,8330,1041.143,61.249,990,2468
540,vLUC2,8330,1089.69,148.911,997,3348
560,vLUC2,8330,1186.06,311.033,1022,8078
580,vLUC2,8330,1200.17,357.777,1024,9920
600,vLUC2,8330,1144.957,290.707,1015,6824
620,vLUC2,8330,1154.132,306.141,1009,7061
640,vLUC2,8330,1073.602,125.451,995,3468
660,vLUC2,8330,1048.724,82.138,989,2937
680,vLUC2,8330,1033.004,48.451,987,1929
700,vLUC2,8330,1018.398,17.815,983,1295
500,vLUC2,6800,1008.218,7.229,982,1043
520,vLUC2,6800,1035.541,50.762,990,1884
540,vLUC2,6800,1075.939,118.466,1006,2921
560,vLUC2,6800,1164.061,264.742,1020,5493
580,vLUC2,6800,1176.031,291.999,1020,5424
600,vLUC2,6800,1128.574,252.559,1003,5156
620,vLUC2,6800,1137.663,273.339,1019,4992
640,vLUC2,6800,1066.674,112.319,999,2706
660,vLUC2,6800,1044.018,75.829,995,2262
680,vLUC2,6800,1029.956,44.059,989,1566
700,vLUC2,6800,1017.518,15.906,989,1203
500,vLUC2,9720,1008.026,7.148,979,1039
520,vLUC2,9720,1032.114,37.647,993,1892
540,vLUC2,9720,1070.102,85.818,994,2256
560,vLUC2,9720,1165.291,218.229,1021,5913
580,vLUC2,9720,1180.446,259.043,1020,5112
600,vLUC2,9720,1131.816,200.629,1015,4320
620,vLUC2,9720,1143.761,232.768,1011,4963
640,vLUC2,9720,1071.664,107.383,998,2983
660,vLUC2,9720,1046.86,72.522,988,2745
680,vLUC2,9720,1031.216,45.007,988,2016
700,vLUC2,9720,1018.278,17.152,983,1268
500,Ppy,4128,1007.168,6.766,982,1031
520,Ppy,4128,1007.63,6.94,983,1033
540,Ppy,4128,1007.465,6.83,984,1033
560,Ppy,4128,1008.411,7.27,983,1040
580,Ppy,4128,1012.033,12.336,985,1168
600,Ppy,4128,1017.476,25.833,986,1357
620,Ppy,4128,1028.941,54.403,992,1855
640,Ppy,4128,1019.576,28.731,984,1365
660,Ppy,4128,1015.364,19.94,983,1285
680,Ppy,4128,1013.08,14.15,986,1190
700,Ppy,4128,1009.777,8.298,984,1058
500,Ppy,6854,1007.202,6.798,978,1034
