,image,rep_id,intensity,intensity_ratio,diameter,rep_x,rep_y,growth,growth.x,growth.y,depth,width,6
74,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,d782d94e-33b0-4cc5-ab28-5e494160e2b9,9.472492,2.691493,38.587563,1092,1810,0,0,0,13.0591630592,7.9130434783,6
75,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,fb60ed50-3c83-4ee1-bf4a-be342fd8d19d,6.1654677,1.7771295,27.58623,1215,1853,0,0,0,13.3694083694,8.8043478261,6
76,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1e7fcefe-ed16-46a7-a099-29c6adeb9f5f,7.2537313,2.0781894,27.513634,819,1901,0,0,0,13.7157287157,5.9347826087,6
77,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,74640aac-0c55-42ce-b35c-389161385eb8,6.5588236,1.8262333,41.340054,1183,1903,0,0,0,13.7301587302,8.5724637681,6
78,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,6d9bd9e8-0874-4088-89db-be1e9afba620,9.327338,2.3991516,42.544094,794,1932,0,0,0,13.9393939394,5.7536231884,6
79,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,f287f3af-2a8b-43e0-a1ae-d1549982d859,5.926316,1.8259325,18.601076,1134,1951,0,0,0,14.0764790765,8.2173913043,6
80,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,b797f3fb-ec60-4561-a2ca-f3ecc129e7c0,7.341772,2.337931,21.023796,801,1959,0,0,0,14.1341991342,5.8043478261,6
81,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,7c79dbca-7477-40d8-b1e0-0f6b517eef38,6.3030305,1.9971154,24.839485,883,2028,0,0,0,14.632034632,6.3985507246,6
82,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,d036d50c-f7a2-4615-9017-a3f22e08e904,7,1.5714285,18.788294,834,2038,0,0,0,14.7041847042,6.0434782609,6
83,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,aee53343-9e48-43ce-9929-55bdfca032a3,8.703704,2.081915,18.027756,856,2072,0,0,0,14.9494949495,6.2028985507,6
84,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,22002b18-6717-4a65-8dd5-76570bf68c60,6.839416,1.8922092,23.259407,853,2129,0,0,0,15.3607503608,6.1811594203,6
85,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,9ed9132c-2067-4f3f-adbf-a537a718a211,6.826389,1.8138353,18.601076,911,2243,0,0,0,16.1832611833,6.6014492754,6
86,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,d2d7950a-995d-4ed7-95d6-38bc0ca273fd,6.736,1.9216152,20.615528,946,2302,0,0,0,16.6089466089,6.8550724638,6
87,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,066fd8ca-9952-4081-afaa-0816ae86cbbd,5.423497,1.6473552,75.70998,880,2588,0,0,0,18.6724386724,6.3768115942,6
