 angle,col_wd,col_ww,miz_wd,miz_ww,tir_wd,tir_ww
6,2.0622169971,1.3006075621,2.1641731262,1.2725555897,1.0190335512,1.2772938013
8,2.0091798306,1.4510658979,2.0058262348,1.188428998,1.2569210529,1.1048104763
10,1.9718188047,1.5713454485,2.1799750328,1.2291938066,1.0245769024,1.133215189
12,2.3575210571,1.7121661901,2.2188227177,1.4687700272,0.8853387237,1.1755312681
14,1.919421792,1.6186891794,2.4736993313,1.5081268549,0.8416749835,1.1415385008
16,1.6102385521,1.5054264069,2.4365341663,1.5124850273,0.6271108985,1.0491497517
18,1.6217787266,1.3395138979,2.3866662979,1.4739893675,0.6882422566,1.1522059441
20,1.3261880875,1.5013952255,2.1448664665,1.430116415,0.7795498967,1.1808758974
22,1.3736270666,1.6759710312,1.918014884,1.5282840729,0.7285544872,1.0796695948
24,1.3361814022,1.6678268909,1.9900925159,1.3927397728,0.7770768404,0.9256626964
26,1.270554781,1.6608138084,2.0834109783,1.6371729374,0.7672606707,1.0866210461
28,1.1119617224,1.4787355661,1.8288413286,1.2943214178,0.6766604185,0.8801638484
30,1.134196043,1.5340993404,1.768355608,1.462782979,0.636918366,0.9423779249
32,1.1865440607,1.4198323488,1.5655007362,1.3581086397,0.6265845895,0.8247640729
34,1.2863230705,1.5006787777,1.3885439634,1.3461441994,0.9008013606,0.9761218429
36,1.1653212309,1.5475647449,1.2209980488,1.3705809116,0.8610872626,0.9951142669
38,0.9853582978,1.2215586901,1.1027094126,1.3471946716,0.9238271713,1.0985997915
40,0.9686428308,1.2316250801,0.9661890864,1.4318543673,0.8028721809,1.1046742201
42,0.7167440057,1.3325279951,1.0935961008,1.3537167311,0.7847044468,1.4480255842
44,0.9541929364,1.6277198792,1.1915944815,1.9846836329,1.2446998358,2.0293190479
46,0.7387726903,1.4242206812,0.8280288577,1.2735987902,1.0639309883,1.4168356657
48,0.7442244887,1.3462566137,0.8204442859,1.3326854706,1.0646518469,1.3219509125
50,0.6812483072,1.2248008251,0.6141151786,1.1488648653,0.9926336408,1.3115018606
52,0.5990591645,1.1778924465,0.6344431043,1.209113121,1.2823032141,1.4293226004
54,0.6029248834,1.37111485,0.5546768904,1.1316347122,0.9858607054,1.3688876629
56,0.5838878155,1.2239582539,0.5161533356,1.1230108738,0.9191222787,1.3441236019
58,0.5678890944,1.0693809986,0.434138,1.0773187876,0.9308857322,1.346378684
60,0.4753619432,1.0461189747,0.4041142464,1.0722646713,1.1002895832,1.2569861412
62,0.4335192144,0.9908594489,0.3999092877,1.0831209421,1.2861254215,1.3008546829
64,0.4587451816,0.9079161882,0.3699684143,1.0537062883,1.0797131062,1.2843387127
66,0.3273097277,0.8320370317,0.3540945053,0.9353569746,0.9355118871,1.2632889748
68,0.4062498212,0.834581852,0.3526379764,0.9877437353,0.7830120325,1.3866657019
70,0.4079472423,0.6609526873,0.3116428554,0.9616820812,1.0167280436,1.2217456102
72,0.411836952,0.6551803946,0.282794416,0.7856334448,0.8884471059,0.9761661887
74,0.3468221426,0.6008826494,0.2439944148,0.6961902976,0.9635130763,0.8736283183
76,0.292182833,0.5668586493,0.2189393044,0.6392671466,1.0805792809,0.9924245477
78,0.2652330995,0.4681143761,0.2271137834,0.5610856414,0.807713747,0.9465534091
80,0.3394475579,0.4752056301,0.2238916904,0.5878337622,0.9345211387,0.9603847861
